Bernie 
I. Berlin
A. Olshanestsky
J.M. Rumshinsky
J. Reichzeitz
H. Jacobson
J. Mushnutsky
J. Engel
Mitchell Kaplin
J. Adler
David Optaiker
I.L. Peretz
Frug
Itzchok Rais-Moishe Nadir
B. Kowner
Albert Harris 
Reb Schmuel
Irving Schlein
Horowitz
Gerson's Choir
Mordechay Hershman
Low 
Engel
Zavel Zilberts
A. Bernstein
Raskin 
M. Kipnis
Pinchos Jassinowsky
S. Secunda
Jacob Rapaport
S. Golub
S. Gozinsky
Max Kotlowitz
A. Rubinstein
C.N. Bialek 
Max Friedman
Liszt
Tabak
Hochman
Schapiro
Rachmiel
N. Aginsky
S. Jukotinsky
G. Ganitzky
Rumshinsky 
Jack Shargel
Shapiro
Schneider
Friedsell 
L. Friedsell
Wm. J.McKenna
A. Schorr 
I. Lilliam
William Siegel
A. Perlmutter
J. Rumshisky
Isadore Lilliam
Meierowitz 
Sam Levenwirth 
Meyerowitz 
A. Teres 
Joe Green
Samuel Secunda
H. Wohl 
Anna Hoffman 
Boris Rosenthal 
Gus Golstein
Harry Kandel
Mrs. Hyman
Miss Hyman
Siegel 
I. Lillian 
D. Meyer Roberts
Schalitt 
Silberta 
Brown
William Schade
Miss Fine
Mogulesko
Wolfsthal
Kopelman
Morgulescu
Herr Idere
Arnold Perlmutter
Henny M. Gatswirth
K. Juvelier 
Henry M. Gatswirth
Kalman Juvelier 
Rumshisky
Permutter 
Saslovsky
Fischer Kanapoff
Nathaniel Shillkret
Kandel
H. Kandel
Jacob Hoffman
B. Freeman
M. Kandel
Samuel Alexander
Israel Chazin
Isador Meltzer
Master Carl Klish
Davidoff
N. Zaslavsky
Joseph Bonime
Solomon
E. Shlisky
Kapov-Kagan
Harry Lubin
Karniol
Abe Karp
Jacobs
Abe Katzman
Laskowski 
Grand Theater Chorus
Kessler 
Kessler
A. Paskel
B. B. De Curtis 
Gozinsky
Toselli 
Vitali Koretzky
Schmidt
Lennartz
Zeilikowitz
M. Kaplan
Froog
M. Rosenfield
Kurt Hetzel
De Giacomo 
Mario
M. Kajouoyon
Mussorgsky
Vladimir Heifetz
Mischa Berkowitch
Leon Rosenbloom
St. Moniuszko
St. Niewiadomski
St. Niewiadowski
Chopin
Moniuszko
H. Gideon
Gliere
Louis Katzman
Elias Kritchmar
Sawel Kwartin
Kwartin
Lampkovitz
Kwartin 
Dr. Philip Friedman
Eugen Hildach
Savel Zilberts
William Friedman
Bernard Altschuler
P. Tchaikowsky
Munielob
Paul Lampkovsky
Carl Böhm
L. Beethoven
Munielob 
Richard Wagner
H. Zadis
D.A. Chigrinsky
Prof. Braslavsky
Alex Olshanetsky 
GiIrod 
Cherniafsky
Aaron Lebedeff
Lucomlin
Smulewitz 
Rund
Meirowitz
H. Kanapof
Nager 
Meyerovitz
Sandler
L. Wolfe Gilvery
Richard Fall
A. Lebedeff
J. Tanzman
Joseph M Rumshinsky
Gussie Juvelier
L. Rubinstein
A. Makaroff
Daver Tarras
R. Ossovsky
F. Kanapoff
Joseph M. Rumshinsky 
Rosenthal 
Philip Friedman
J. Moskowitz
Silver
Josef B. Robiner
M. Lichtenstein
P. Jassinowsky
Rev. O. Lind
Clara Rosenthal
Max Baden
Lillian 
Brody 
Henry M. Gastwirth-J
Kings Orchestra
Louis Gilrod-Peretz Sandler
Tunkeler
Machtenburg
Herbert Slotnick
Rapaport
Joseph Rosenblatt
Samuel Malawsky
Henry Spector
Joseph Schreibman
Rose Gross
V. Monti
Peter Nevsky
V
G. Matusevich
J. Samos
O. Virag 
Eugen Pártos
N. Tessler 
Mario Perry
Mishka Ziganoff
William H. Reitz
Guy Massey 
David Medoff
Gorodetzer
Eddie Scarpa
Basil Fomeen
Bogarde
Felisi
Matus Lichtenstein
Berlin
S. Medoff
Chana
 King's Orchestra
L. Gilrod-Louis Friedsel
B. Tomashefsky-Perlmutter-Wohl
I.R. Berman
Sholom Aleichem-Medvedieff
Suboff
A. Zarycki
I.L. Perez-Max Gelbart
Jacob Medvedieff
Lisenko
Rubinstein
Wagner
Louis Gilrod-Herman Wohl
Joseph M. Rumshinsky-Louis Gilrod
M. Michalesko
Robert Stoltz
von Pe'suches Harun
von Rosh Ch'udesh Benshen
Louis Fridsel
Leroy Shieid
Jos. Brody
A. Schwartz 
Max Yussim
Brahms
Julius Lenzberg
Max Yussim
Edward T. King
Leo Edwards
Moskowitz
L. Wiest
Rubin 
Emil Waldteufel
F. Henri Klickman
Harry Alford
Yussim
N. Saslavsky
Cirillo
Edward Vozzella
Folgman
A. Osofsky
A. Lebedofe 
Sam Lowenworth 
Leo Low
A. Weissman
Moishe Oisher
Jacob Weinberg
Joseph Moskowitz
D. Strunk
Menasha Oppenheim
A. Goldfadden
Kannapoff
Irving Berlin
J.Y. Sherman
 Kings Orchestra
Narcissi Ludovic Daus
Ch. Malo
Alin Burlanescu 
 op. 28
M. Eminescu 
M. Zamphirescu 
Mahai Eminescu
B. Reznik 
J. Medvedieff
J. Altman
Doctor
L. Praskin
Nathaniel Skillret
Anshell Schorr 
A. Carp
M. Zavodnick 
Molly Picon
Picon 
J
Jacob Kalisch 
I. Manger 
S. Jacobs 
P. Pinchik
S. Pinchik
Melitz Joisher
Prof. Horowitz
Schoor
Goldfadden
Alperin
John F. Burckhardt
David Putterman
David J
David J. Putterman
Sanders
Jolson 
J. Yellen 
Mana 
Harry Lefkowitch
De Sylva 
Hammond
5 people
Alex Fiedel
Harry Raderman
Shloimke Beckerman
Sam Heller
M. Machtenburg
Ch. Towber 
Chaim Tauber 
H. Lenk 
Julia
S. Abeles 
L. Satz 
Ada Rattner
Max S. Brown 
Samuel Rosenstein 
Peretz Hershbein
I
Ira B. Arnstein
Jacob Leiserowitz
Minnie Herman
Beckie Cohen
Barnet Bermein
Hyman Corenfeld
Joseph M
E
Roitman
S. Froog
David Roitman
S. Gosinsky
9 men
Henry A. Rosotto
fur Titanik
Choir Of The First Hungarian Congregation Ohab Zedek
Rosenblatt
Ohab Zedek Choir
Massenet
I.B. Arnstein
J. Rosenblatt
M. Heller
R. Kazmirsky
M. Posner 
Solomon Golub 
J. Massenet
Rhea Silberta 
Joseph Rosenblatt 
Clement Barone
Abraham Ellstein
Lew Shilkret
Isidore Freed 
Isidore Freed
Edwin Clark
Lea Rosenthal
Bores Tomashefsky 
N. Sternheim
Bizante
Terres
A. Phillipp
J. Briquet
Mogulesky
Savel Silbert
A. Lichtenstein
Samuel Lessin
S. Rothstein
R. Granowsky 
Charles Prince Camden
A. Goldfadden 
I. Goichberg 
D. Meyerovitz
Solomon Small 
Anshell Schorr
Yudele Belzer
Gilrodn 
William Ziegenlaub
Alois Kaiser
Gottfried Federlein
Isadore Freed
Salomon Rozowsky
Louis Lewandowsky
Louis Lewandowsky 
Moritz Deutsch
Arno Nadel
Gerovitsch 
Saslawsky 
Ludwig Satz 
Ludwig Satz
J. Cherniawsky
J. Cherniavsky 
J. Rumshisky 
L. Lewandowski
Mark Schneid
F. Schreiber
Small
Goldfaden 
S. Kisselhoff 
