29584,Kazakhstan,,,Place/Kazakhstan/Asia/Suffering/Soviet/Refugees,,,,Russian text in album notes,Alb Y-066(a)
29585,Kazakhstan,,,,,,,,
29586,Mayn Pulemyot,מײַן פּולעמײַאָט,Concert/Doyne/Waltz/Klezmer,Machine Gun/Soldier/MemoryGrass/Destruction/Revenge,,,,"My Machine Gun
Russian text in album notes",Album Y-066(a)
29587,Shelakhmones Hitlern,שלחמונות היטלערן,Concert,Gifts/Purim/Enemies/Hitler/Stalin/Extermination/Survival,,,,"Russian text on album notes
Music based on song ""Bin Ikh Mir A Shnayderl"" by Zelig Barditchiver.
Instrumental parts and arrangement by Sergei Erdenko",Alb Y-066(a)
29588,Taybls Briv,טײַבלס בריוו,Concert/Literary Origin,Letter/Seamstress/Husband/Soldier/Revenge/Freedom/Peace,,,,"Based on a song composed by Kostantiv Listiv titled Tachanka (Tank).
Russian text in album notes.",Alb Y-066(a)
29589,Misha Tserrayst Hitlers Daytshland,מישע צעררײַסט היטלערס דײַטשלאַנד,Literary Origin,Letter/E. Prussia/Mice/Plague/Fascits/Defeat/Patience/Peace,,,,"Russian text in album notes
Music a combination of Tumbalalayke and Katyusha.",Alb Y-066(a)
29590,Chuvasher Tekhter,חבֿואַשער טעכטער,Literary Origin/Place/Waltz/Tango/Barn Dance,Chuvashia/Women/Draft/Red Army/Battle/Sacrifice/Stalin,,,,Russin text in album notes.,Alb Y-066(a)
29591,Mayn Mames Gruv,מײַן מאַמעס גרובֿ,Literary Origin/Lament,Mothe/Child/Grave/Grief/Enemy/Defeat/Departure/Nurture,,,,Russian Text in album Notes,Alb Y-066(a)
29592,Babi Yar (Rovinskaya),באַבי יאַר (ראָווינסקײַאַ),Literary Origin/Lament/Doina/Place,Joy/Grief/Babi Yar/Slaughter/Wife/Child/Pain/Germans,,,,"Russiantext with album notes.
Music based on folk song ""In Droysn Geyt A Regn""",Alb Y-066(a)
29593,Tulchin,טולשין,Literary Origin/Place/Lament,Tulchin/Memory/Destruction/Suffering/Germans/Orphans/Hope,,,,"Russian text with album notes.
Music based on Alfred Schnitke's ""Mary's Song""  from TV series Little Tradgedies",Alb Y-066(a)
29594,A Shturemvint,אַ שטורעמווינט,Literary Origin/Concert,Storm/Quiet/Fascists/Hitler/Eradicate/Hope/Rainbow,,,,"Russian text in Album notes.
Music Based upon folksong ""Chiribom"" and ""K'vokas"" by Yosele Rosenblatt",Alb Y-066(a)
29595,Fir Zin,פֿיר זין,Literary Origin/Lament/Waltz,Father/Sons/Anguish/Sleeplessness/Loss/Homeless/Stalin,,,,"Russian text with Album notes.
Music based on ""North Hunter"" by Natalia Levi and urban Soviet folk tunes.",Alb Y-066(a)
29596,Kazakhstan Reprise,קאַzאַחסטאַן ריפּריס,Place,Place/Kazakhstan/Asia/Suffering/Soviet/Refugees,,,,Russian text in album notes.,Album Y-066(a)
29597,Nitsokhn Lid,נצחון ליד,Literary Origin,Revenge/Victory/Germans/(Slakh Lanu)/Anger/Dance/Red Army,,,,"Russian text in Album notes.
Music based on Yiddish and Soviet Folk songs",Album L-066(a)
29598,Tsum Nayem Yor,צום נײַעם יאָר,Concert/Celebration,Cease Lamenting/Hitler Vanquished/Joy/Peace,,,,"Russian text in album notes
Music based on traditional Purim Song",Alb Y-066(a)
27602,Shir Ha'Gdudanim,שיר הגדודנים ושיר הליגיונות,,,,,,,
27603,Al Tishkechini,אל תשכחיני,,,,,,,
27604,Al Chof Eylat,על חוף אילת,,,,,,,
27605,Nagen Ugav,נגן עוגב,,,,,,,
27606,Rachel shel Hakineret,רחל של הכינרת,,,,,,,
27607,Rokedet,רוקדת,,,,,,,
27608,Artzenu Haktantaonet,ארצינו הקטנטונת,,,,,,,
27609,Machrozet,מחרוזת הורה,,,,,,,
27611,The Rabbi's Son,,Literary Origin/Spoken Word/Translation,"Memory/Sabbath/Prayer/Revolution/Violence, Contradiction",,,,,Babel p331 PG3476.B2 A23 2002
27612,You Must Know Everything,,Literary Origin/Spoken Word/Translation,Knowledge/Grandmother/Memory/Food/Learning/Music/Study/Anger,,,,"See ""You Must Know Everything"" Babel 
See Babel p 43 PG3476.B2 A23 2002
Published under the title ""At Grandmother's""",See Babel p 43 PG3476.B2 A23 2002
27613,Shabos Nakhamu,,Literary Origin/Spoken Word/Translation,Shabos/Food/Poverty/Wife/Curses/Rabbi/Horse/Hunger,,,,"The Shabos of Comfort
Also Trickery/Other World/Fools/Inkeeper
See Babel p 84 PG3476.B2 A23 2002",See Babel p 84 PG3476.B2 A23 2002
27614,The Cemetary at Kozin,,Literary Origin/Spoken Word/Translation,Cemetary/Shtetl/Volhynia/Gravestones/Images/Death,,,,,See Babel p 259 PG3476.B2 A23 2002
27615,At Grandmother's,,,,,,,"See ""You Must Know Everything""",
27616,At Granmother's,,,,,,,"See ""You Must Know Everything""",
27618,Veriovochka,,Russian/Klezmer,,,,,,
27619,Vocal Trio,,Russian/Klezmer,,,,,,
27620,Comic Song,,Russian/Klezmer/Folk/Humorous/Perjoritive,Old Clothes/Cuckold/Poverty/Wiidow/Children,,,,"This is ""Khaim Popukal"" sometimes known as ""Poor Khaim"" Same melody as ""Lena From Palestina"" & ""Unter Belzer Himlen",Alb B-036(a)
27621,Fishl Der Melamud,פֿישל דער מלמד,Humorous-Vaudeville,,,,,,
27622,Anna Hoffman Jacob Jacobs Medley,,Vaudeville,,,,,,
27623,Broyges (Fershko),ברוגז,Literary Origin/Holocaust,Levy Yitskhok/Anger/God/Silence/Quarrel,Manger 459 (Lid Un Balade)/Alb F-024(a),,,,Manger Wolf 105 (World According to Manger)
27632,RUSH TIME,,,,,,,,
27634,Alovon,עלבון,,,,,,,
27635,Taminah,תמונה אימפרסיוניסטית,,,,,,,
27636,Totim,תותים,,,,,,,
27637,Erev b' Koslov,ערב ב' כסלו,,,,,,,
27638,Kravot Tarneglim,קרבות תרנגולים,,,,,,,
27639,Goldfinger,גולדפינגר,,,,,,,
27372,Dos Klejne Tsigajnerl,,Folk,,,,,,
27373,Amsterdam Huilt,,Folk,,,,,,
27374,Awek Awek Awk,,Folk,,,,,,
27375,Flign Mit A Nign,,Folk,,,,,,
27376,Di Miln Foen Majn,,Folk,,,,,,
27377,"Tsjirik, Tsjirik",,Folk,,,,,,
27378,Git Mir Op Maltov,,Folk,,,,,,
27379,Vuile Jatten,,Folk,,,,,Dirt Hands,
27380,Sjmoelik,,Folk,,,,,,
27381,Vos Shpilste?,,Folk,,,,,"""What are you playing?""",
27382,Nisjka Banja,,Folk,,,,,,
27383,Di Wor,,Folk,,,,,,
27384,Ishmael,,Folk,,,,,,
27385,Kale Baveynen,כּלה באַוויינען,Klezmer/Instrumental,,,,,Making the Bride Weep,
27386,Romanian Fantasy #1,,Instrumental/Klezmer,,,,,,
27387,Binyomele's Kholem,ביניאָימאָלעס חלום,Instrumental/Klezmer/Doina/Zhok/Dance,,,,,Little Benjamin's Dream,
27388,Glazier's Hora,גלייזירס האָרע,Instrmental/Klezmer/Doina,,,,,,
27389,Shver Un Shviger,שווער און שוויער,Instrumental/Klezmer/Dance/Ritual/Wedding,,,,,Dance For The Parents Of The Bride,
27390,Romanian Fantasy No. 3,,Instrumental/Klezmer,,,,,,
27393,Binyomele's Viglid,ביניאָימאָלעס וויגליד,Instrumental/Klezmer,,,,,,
