19292,5929,Author,,
19293,5929,Author,,
19294,5929,Author,,
19295,5929,Author,,
19297,5929,Author,,
19298,5929,Author,,
19300,5929,Author,,
19301,5929,Author,,
19302,5929,Author,,
19305,5929,Author,,
19307,5592,Author,,
19309,6423,Author,,
19310,6423,Author,,
19311,6423,Author,,
19315,1018,Author,,
19325,2240,Author,,
19329,10482,Translator (from the German),,
19353,10361,Author,,
19363,2240,Author,,
19367,10482,Author,,
19387,10361,Author,,
19401,2963,Author,,
19402,6828,Author,,
19414,4307,Author,,
19416,9653,Author,,
19418,6974,Author,,
19420,10719,Author,,
19421,5592,Author,,
19424,21160,Author,,
19426,7875,Author,,
19427,21160,Yiddish Adaptation,,
19428,21160,Yiddish Adaptation,,
19441,7252,Author,,
19442,7252,Author,,
19445,3304,Author,,
19448,9653,Author,,
19450,3350,Author,,
19452,10285,Author,,
19457,439,Author,,
19462,3317,Author,,
19463,3317,Author,,
19464,3317,Author,,
19465,3317,Author,,
30541,18505,Vocal,,
19466,3317,Author,,
19467,3317,Author,,
19468,3317,Author,,
25583,7410,Hebrew Adaptation,,
19469,3317,Author,,
19470,3317,Author,,
19471,3317,Author,,
19472,3317,Author,,
19473,3317,Author,,
19474,3317,Author,,
19475,3317,Author,,
19476,3317,Author,,
19477,3317,Author,,
19478,3317,Author,,
19501,5155,Author,,
19531,8629,Author/Composer,,
19533,4990,Author,,
19534,6869,Author,,
19537,8005,Author,,
19538,8005,Author,,
36938,791,Vocal,,
36939,791,Vocal,,
19539,8005,Author,,
19540,8005,Author,,
19541,8005,Author,,
19542,8005,Author,,
19543,8005,Author,,
19544,8005,Author,,
23638,7604,Artist,,
37933,3076,Cantor/Khazn,,
19545,8005,Author,,
19546,8005,Author,,
19548,8005,Author,,
19549,8005,Author,,
9309,6215,Vocal,,
19550,3317,Author,,
19552,4990,Author,,
19572,6656,Author,,
19576,19028,Author,,
19590,761,Vocal,,
19640,9032,Author,,
19662,4478,Author,,
19664,7286,Author,,
19666,998,Author,,
19671,2574,Author,,
19672,2574,Author,,
37098,22683,Musical Producion and Arrangements,,
37095,22682,Voice and Guitar,,
37095,22683,Musical Producion and Arrangements,,
37094,22682,Voice and Guitar,,
37094,22683,Musical Producion and Arrangements,,
37113,22696,Lead Vocals,,
37113,22697,"Lead Guitar, Bass",,
37113,22698,"Bass, Additional Keyboards",,
37113,22699,Additional Keyboards,,
37113,22700,Saxaphone,,
37113,22701,"Electric Cello, Oud",,
37113,22702,Tenor Sax,,
37113,22703,Baritone Sax,,
37113,22704,Trumpet,,
37113,22705,"Bendir, Derbourka",,
37113,22706,Keyboards,,
37113,22707,Background Vocals,,
37113,22708,Background Vocals,,
37113,22709,Background Vocals,,
37114,22696,Lead Vocals,,
37114,22697,"Lead Guitar, Bass",,
12012,8623,Author/Composer,,
12013,8623,Author/Composer,,
12116,6039,Author/Composer,,
12135,8623,Author/Composer,,
12136,8623,Author/Composer,,
12180,10888,Author/Composer,,
12184,6865,Author/Composer,,
35896,7311,Vocal,,
26768,6833,Author/Composer,,
26782,2941,Author/Composer,,
26786,2941,Author/Composer,,
26788,2941,Author/Composer,,
26882,1407,Author/Composer,,
26898,10165,Author/Composer,,
4245,1755,Author,,
4248,20201,Hebrew Adaptation,,
4249,2651,Author,,
4250,10137,Author,,
33072,20481,Tuba,,
4288,7819,English Adaptation,,
4310,5597,Author,,
4311,5597,Author,,
4315,172,Author,,
4325,3046,Vocal,,
4331,20436,English Adaptation,,
4353,8071,Author,,
4366,4138,Author,,
4372,4518,Author,,
4376,3761,Author,,
4377,3761,Author,,
4378,2531,Author,,
4379,3761,Author,,
4383,4812,Author,,
4400,8071,Yiddish Adaptation,,
4410,235,Author,,
4411,377,Author,,
4432,10168,Author,,
32872,8997,Piano/Arranger,,
2054,6927,,,
2054,8997,Arranger/Piano/Musical Direction/Vocal,,Member Original Klezmer Jazz Band
2054,8160,Banjo/Guitar,,Member Original Klezmer Jazz Band
2054,10805,Trumpet,,Member Original Klezmer Jazz Band
2054,18615,Clarinet/Alto Sax,,Member Original Klezmer Jazz Band
2054,10806,Bass,,Member Original Klezmer Jazz Band
2336,8997,Arranger/Piano/Musical Direction/Vocal,,Member Original Klezmer Jazz Band
2336,8160,Banjo/Guitar,,Member Original Klezmer Jazz Band
2336,10805,Trumpet,,Member Original Klezmer Jazz Band
2336,18615,Clarinet/Alto Sax,,Member Original Klezmer Jazz Band
2336,10806,Bass,,Member Original Klezmer Jazz Band
10835,6927,,,
10835,10807,Drums,,Guest
10835,8160,Banjo/Guitar,,Member Original Klezmer Jazz Band
43084,22236,Vocal,,
43086,22236,Vocal,,
43087,22236,,,
43088,22236,Vocal,,
43089,22236,Vocal,,
43090,22236,Vocal,,
43091,22236,Voxal,,
43092,22236,Vocal,,
43093,22236,Vocal,,
43094,22236,Vocal,,
43095,22236,Vocal,,
39493,11186,"Clarinet/Bass Clarinet
Norton, Kevin",,
39493,23720,Electric Guitar,,
39493,21898,Accordion,,
39493,23722,Acoustic and Electric Bass,,
39493,23723,Percussion,,
39494,11186,"Clarinet/Bass Clarinet
Norton, Kevin",,
39494,23720,Electric Guitar,,
39494,21898,Accordion,,
39494,23722,Acoustic and Electric Bass,,
39494,23723,Percussion,,
39495,11186,"Clarinet/Bass Clarinet
Norton, Kevin",,
39495,23720,Electric Guitar,,
39495,21898,Accordion,,
39495,23722,Acoustic and Electric Bass,,
39495,23723,Percussion,,
39496,21898,Accordion,,
39496,11186,"Clarinet/Bass Clarinet/Shofar/Vocal
Norton, Kevin",,
39496,23723,Percussion,,
39496,23722,Acoustic and Electric Bass,,
39496,23721,Loops/Electric Guitar,,
39497,21898,Accordion,,
39497,11186,"Clarinet/Bass Clarinet
Norton, Kevin",,
39497,23723,Percussion,,
39497,23722,Acoustic and Electric Bass,,
39498,21898,Accordion,,
39498,11186,"Clarinet/Bass Clarinet/Arranger
Norton, Kevin",,
39498,23723,Percussion,,
39498,23720,Electric Guitar,,
39498,23722,Acoustic and Electric Bass,,
39498,23721,Loops,,
39499,21898,Accordion,,
39499,11186,"Clarinet/Bass Clarinet
Norton, Kevin",,
39499,23723,Percussion,,
39499,23720,Electric Guitar,,
39499,23722,Acoustic and Electric Bass,,
39499,23721,Second Guitar,,
39500,21898,Accordion,,
39500,11186,"Clarinet/Bass Clarinet
Norton, Kevin",,
39500,23723,Percussion,,
39500,23722,Acoustic and Electric Bass,,
39500,23721,Electric Guitar/Loops,,
39501,21887,,,
39501,11186,Clarinet/Bass Clarinet,,
39501,,Sampler/Sequencer,,
39502,23724,Violin,,
39503,23724,Violin,,
39504,23724,Violin,,
39505,23724,Violin,,
39506,23724,Violin,,
39507,23724,Violin,,
39508,23724,Violin,,
39509,23724,Violin,,
39510,23724,Violin,,
39511,23724,Violin,,
39512,23724,Violin,,
43033,20196,Violin/Vocal,,Member Pressburger Klezmer Band
43033,24629,Accordion,,Guest
43033,8659,Clarinet,,Guest
43033,24625,Vocal,,Guest
43033,24620,Lead Vocal,,Member Pressburger Klezmer Band
43033,24630,Percussion,,Guest
43033,24624,Drums,,Member Pressburger Klezmer Band
43033,24623,Piano,,Member Pressburger Klezmer Band
43033,24627,Darbuka,,Guest
43033,20197,Clarinet/Vocal,,Member Pressburger Klezmer Band
43033,24621,Accordion/Vocal,,Member Pressburger Klezmer Band
43033,24626,Dulcimer,,Guest
37056,22678,Viola/Acoustic Guitar,,
37056,22674,Accordion,,
37056,10692,Contra Bass,,
37056,10693,Percussion,,
37056,10689,Keyboards,,
37056,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37056,10694,Bass Trombone,,Guest Artist
37056,22676,Trumpet,,Guest Artist
37054,10688,,,
37054,10690,Clarinet/Musical Direction/Arranger,,
37054,22673,Violin,,
37054,22677,Vocal,,
37054,22678,Viola/Acoustic Guitar,,
37054,22674,Accordion,,
37054,10692,Contra Bass,,
37054,10693,Percussion,,
37054,10689,Keyboards,,
37054,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37054,10694,Bass Trombone,,Guest Artist
37054,22676,Trumpet,,Guest Artist
37063,10688,,,
37063,10690,Clarinet/Musical Direction/Arranger,,
37063,22673,Violin,,
37063,22678,Viola/Acoustic Guitar,,
37063,22674,Accordion,,
37063,10692,Contra Bass,,
37063,10693,Percussion,,
37063,10689,Keyboards,,
37063,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37063,10694,Bass Trombone,,Guest Artist
37063,22676,Trumpet,,Guest Artist
37062,10688,,,
37062,10690,Clarinet/Musical Direction/Arranger,,
37062,22673,Violin,,
