P1,18020
P2,902
P3,19402
P4,9029
P5,28027
P6,19390
P7,28363
P8,32446
P9,17685
P10,29371
P11,29580
P12,29600
P13,29583
P14,29584
P15,29586
P16,29587
P17,29588
P18,29589
P19,29590
P20,29591
P21,29592
P22,29593
P23,29594
P24,29595
P25,29596
P26,29597
P27,29599
P28,729
P29,29613
P30,29598
P31,9457
P32,6405
P33,29564
P34,5696
P35,29546
P36,12895
P37,3664
P38,29547
P39,29548
P40,29549
P41,6348
P42,3071
P43,1332
P44,29550
P45,29551
P46,2962
P47,29566
P48,29553
P49,29554
P50,5599
P51,5599
P52,5601
P53,5603
P54,5603
P55,5665
P56,5665
P57,5665
P58,5667
P59,5668
P60,5670
P61,5672
P62,5673
P63,5674
P64,5676
P65,5677
P66,25263
P67,25264
P68,25265
P69,25266
P70,25267
P71,25268
P72,25269
P73,25270
P74,25271
P75,25262
P76,25259
P77,26065
P78,26066
P79,26067
P80,10107
P81,3859
P82,25220
P83,17114
P84,10506
P85,17283
P86,10506
P87,18005
P88,443
P89,12308
P90,699
P91,12463
P92,3897
P93,531
P94,3883
P95,24038
P96,8283
P97,15597
P98,6822
P99,12325
P100,29384
P101,29390
P102,29389
P103,29391
P104,25356
P105,25357
P106,25358
P107,25359
P108,25360
P109,25361
P110,25362
P111,22748
P112,25364
P113,25365
P114,25366
P115,25367
P116,25368
P117,25369
P118,25370
P119,25371
P120,25372
P121,25373
P122,25374
P123,25375
P124,25377
P125,25378
P126,25379
P127,25380
P128,25381
P129,25382
P130,25383
P131,25458
P132,115
P133,16119
P134,25461
P135,23625
P136,25472
P137,25473
P138,25474
P139,25475
P140,25476
P141,25477
P142,25478
P143,25479
P144,25480
P145,24668
P146,25482
P147,25483
P148,25484
P149,25485
P150,25486
P151,25487
P152,25488
P153,25489
P154,25489
P155,25490
P156,25491
P157,21532
P158,25489
P159,25489
P160,25489
P161,25493
P162,25494
P163,25495
P164,25496
P165,25497
P166,28221
P167,27574
P168,27575
P169,27576
P170,27577
P171,27578
P172,27579
P173,27580
P174,27581
P175,27582
P176,27583
P177,27584
P178,27585
P179,27562
P180,27394
P181,27395
P182,27396
P183,27397
P184,21771
P185,21767
P186,21768
P187,21769
P188,5720
P189,5720
P190,5720
P191,474
P192,20285
P193,20285
P194,20285
P195,12614
P196,12615
P197,12617
P198,12619
P199,12621
P200,12621
P201,12622
P202,105
P203,106
P204,108
P205,110
P206,114
P207,20953
P208,20954
P209,20955
P210,20956
P211,20957
P212,3674
P213,20958
P214,20959
P215,20960
P216,20961
P217,9908
P218,9909
P219,9910
P220,9912
P221,9913
P222,9914
P223,9916
P224,9917
P225,9918
P226,9922
P227,9923
P228,9924
P229,11898
P230,22604
P231,3752
P232,25515
P233,623
P234,25517
P235,25518
P236,25520
P237,25521
P238,25522
P239,25523
P240,25524
P241,25525
P242,25526
P243,25527
P244,25528
P245,25529
P246,25530
P247,25531
P248,25532
P249,25533
P250,25534
P251,25535
P252,25536
P253,25537
P254,25538
P255,25539
P256,25540
P257,25541
P258,25542
P259,25543
P260,25544
P261,25545
P262,25546
P263,25547
P264,25548
P265,25549
P266,25550
P267,25551
P268,25552
P269,25553
P270,25554
P271,25555
P272,25556
P273,25557
P274,25558
P275,25559
P276,25560
P277,25561
P278,25562
P279,25457
P280,25563
P281,25564
P282,14237
P283,25566
P284,25567
P285,25568
P286,25569
P287,25570
P288,25571
P289,25572
P290,25573
P291,25575
P292,25576
P293,25577
P294,25578
P295,25574
P296,25579
P297,27534
P298,27500
P299,27535
P300,27536
P301,27537
P302,27538
P303,27539
P304,27541
P305,2434
P306,27543
P307,27544
P308,27545
P309,27546
P310,27547
P311,3237
P312,11927
P313,27551
P314,27552
P315,27553
P316,27555
P317,27556
P318,27557
P319,27558
P320,27559
P321,27560
P322,27570
P323,27571
P324,27572
P325,27573
P326,5402
P327,5402
P328,5402
P329,5402
P330,5579
P331,5497
P332,5499
P333,5499
P334,5501
P335,5502
P336,5503
P337,5503
P338,5506
P339,5507
P340,5507
P341,5507
P342,5507
P343,5509
P344,5510
P345,5511
P346,5512
P347,5514
P348,5517
P349,5518
P350,25498
P351,5402
P352,27440
P353,27441
P354,27442
P355,27441
P356,27444
P357,27445
P358,27446
P359,23873
P360,27430
P361,27432
P362,27433
P363,27434
P364,27435
P365,27436
P366,27437
P367,27438
P368,27439
P369,24040
P370,27447
P371,27448
P372,27449
