artist
Annie Marcue
Herman Arbnowitz
Anna Josephson
Archie Arbnowitz
Mischa Ferenzo
Fred Bachman
Lucy Finkel
William Robyn
Joseph M. Rumshinsky
Michal Michalesko
Morris Novikoff
Ph. Fisherman and Gerson's Choir
Joseph Frankel
Lieut. Jos. Frankel's Orchestra
Frankel's Orchestra
Joseph Frankel's Instrumental Sextette
Dave Franklin
L. Rosansky
Louis Friedsell Orchestra
Peoples' Theatre Orchestra
Die Tzvei Galitzianer Komiker
Der Galitzianer Komiker
Moshe Ganchoff
Moses Ganopolsky
Jacob Gegna
Lucy German
Leon Gold
Harry Lubin
Leib Glantz
Al Glaser
Al Glaser's Bucovina Kapelle
Myron Glass
Izso Glickstein
S. Lilbertz
Clara Gold
Max Gebil
Stillman's Orchestra
Rubin Goldberg
H. Gottesfeld
Tovie Schmaichel
Jacob Gordon
M. Brooks
Cliff Friend
Lizzie Goldfinger
Goldin Hebrew Quartet
Meyer Goldin
Salomon Sulzer
Harrison Latimer
Sigmund Mogulesko
Blumenthal
Schestorpol
Yudele Belzer
Sigmund Moguleski
Bouman
Sam Goldin
Ross
Samuel Goldenberg
E. Ray Goetz
Joe Young
Pete Wendling
E.J. Evans
Spiwack
Telebende Quartet
T. Foline
Mittelman
Spivak
T. Poline
Alex Lifschutz
Jay Goldstein
Mr. Gallagher
Mr. Shean
Benjamin Schoenfeld
Frank Silver
Irving Cohn
Anna Hoffman
Sarah Filler
A. Hart
Jennie Goldstein
Max Gabel
Gilvat
Max Leibowitz
Simon Paskal
Reuben Shapiro
Dane Nudorf
N. Tessler
Nodeff
Liza Tuchman
S. Feifer
SMorris Goldstein
imon Paskal
A. Blum
Adolph Kalinsky
J. Jaffe
D. Smith
Fischer Kanapoff
Sam Lowenwirth
Max Terr And His Grand Street Boys
Jack Schargel
M. Slakin
Jack Simkins
Benjamin Gusikoff
Clarence Fuhrman
Zena Goldstein
R. Rosenthal
S. Cohen
Fischer
S. Simkins
R. Osofsky
Lea Golinkin
Joseph Achron
Golub Band
Minsker
Grand Theatre Quartette
M. Abramovitz
J. Greenbaum
Mr. Greenberg
A. Greenberg
Philip Greenberg
Orchestra Nationala
Irving Grossman
Jacob Rechtzeit
A. Olshanetsky's Orkester
Irving Berlin
Hyman Jacobson
Epstein
J. Mushnutsky
Elizabeth Gutman
Albert Harris
Mitchell Kaplin
J. Adler
David Optaiker
Isaac Leib Peretz
Moyshe Nadir
B. Kowner
Man Romun
Shir Hashirim
Hebrew Folklore Sinfonietta
Shmuel Rozovsky
Irving Schlein
Hebrew Temple Quartet
Horowitz
Rose Herringer
Gerson's Choir
Mordechai Hershman
Leo Low
Zavel Zilberts
M. Kipnis
Pinchas Jassinowsky
Jacob Rappaport
S. Gozinsky
Max Kotlowitz
Bertha Hirsch Baruch
C.N. Bialek
Platon Brounoff
Max Friedman
I.J. Hochman's Yiddisher Orchestra
Russian-Jewish Orchestra
Franz Liszt
Hochman's Jewish Orchestra
Fivel Tabak
Hochman's Orchestra
Schapiro
Nute Rachmiel
I.J. Hochman's Jewish Orchestra
Hochman's St. Petersburg Balalaika Orchestra
N. Aginsky
Polska Orkiestra Hochmana
S. Jukotinsky
G. Ganitzky
Russian Balalaika Orchestra
Jack Shargel
Schneider
William J. McKenna
William Siegel
L. Cohen
Bennie Zeidman
Sam Leṿenṿirṭ
Joe Green
Jack Kammen
Gus Golstein
Jacob Hoffman
Harry Kandel
Nathan Hollander
Abraham Hyman
Mrs. Hyman
Jacob M. Jacobowitz
Betty Jacobs
Aaron Lebedef
Fannie Lubritzky
Joseph Jacobson
W. Rosenthal
Dorothy Jardon
Heinrich Schalit
Max S. Brown
Mana-Zucca
Abraham Jassen
William Schade
Miss Fine
Mr. Brodwin
Miss Brill
Jewish Art Choir
The Jewish Comedians
Jacob Jimmalmon
Kalman Juvelier
Bessie Mogulesko
AKalman Juvelier
rnold Perlmutter
Josef Wolfsthal
Kopelman
A. Spivak
Herr Idere
Henry M. Gastwirth
Luba Kadison
Bertha Kalich
Nathaniel Shillkret
Kendel's Orchestra
Kandel's Orchestra
Kandel's Jewish Orchestra
B. Freeman
Samuel Alexander
Israel Chazin
Isador Meltzer
Katz
Carl Klish
Davidoff
N. Zaslavsky
Palamak Quartet
Josef Bonime
Solomon
Rubin Kaplan
E. Shlisky
Ben Zion Kapov-Kagan
Alter Yehiel Karniol
Gussie Karp
Sam Kasten
Abe Katzman
Abe Katzman's Bessarabian Orchestra
Betty Keinig
Laskowski
David Kessler
Grand Theater Chorus
Joseph Kessler
Krone
Jack Kimelman
A. Paskel
Isaac Kirchner
Sam Klinetzky
Zwerling
Vitali Koretzky
B. B. De Curtis
E. De Curtis
Enrico Toselli
Schmidt
Lennartz
Samuel Kornzweig
Zeilikowitz
M. Kaplan
Chaim Kotylansky
Leo Krassin
Rose Kraus
Isa Kremer
Kurt Hetzel
Paolo Tosti
Salvatore Di Giacomo
Mario
M. Kajouoyon
Modest Mussorgsky
Vladimir Heifetz
Mischa Berkowitch
Leon Rosenbloom
Stanisław Moniuszko
Stanisław Niewiadomski
Frédéric Chopin
H. Gideon
Gliere
Louis Katzman
Elias Kritchmar
Sophie Kurtzer
Zavel Kwartin
Lampkovitz
Calefactor
Dr. Philip Friedman
Eugen Hildach
William Friedman
Bernard Altschuler
Richard Wagner
Munielob
Paul Lampkovsky
Carl Böhm
Ludwig van Beethoven
Zavel Kwartinn
H. Zadis
D.A. Chigrinsky
M. Lachmanovitz
Thomas LaRue
Pincus Lavenda
Aaron Lebedeff
Lucomlin
King
H. Kanapof
Gussie Juvelier
L. Rubinstein
A. Makaroff
R. Ossovsky
Joseph Moskowitz
Silver
Lucy Levin
Max Wilner
Josef B. Robiner
Benjamin Levite
S. Libsohn
Matus Lichtenstein
Matus Lichtenstein's Kunst Orkester
Dale Lind
Rev. O. Lind
Clara Rosenthal
Pepi Litman
Annie Lubin
Max Baden
David Lubritzky
Fanny Lubritzky
