ID Number,"Spottswood Section","Matrix Number (song #, take #)",Normative Artist Name,Artist/Performer as listed,Title of Track,Normative Title Spelling,"Date Performed (exact)","Date Performed (estimate)",Year,Place Performed,Record Label and Number,Record Label,"Instrumentation (first is performer, then alphabetical) ","Arrangers/Composer/Performers, etc (if provided)",Composers and Performers Normative Spelling,Other notes
S1,16.1,Z 127-2,Hyman Adler,Hyman Adler,Got Fin Avraham,,12/1/1910,,1910,"New York, NY","Zon 51002, Vi S8342 (12'')","Zonophone, Victor ","Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),Hyman Adler b. 1886
S2,16.1,Z 128-1,Hyman Adler,Hyman Adler,Umipane Chatuainu,,12/1/1910,,1910,"New York, NY",Zon,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S3,16.1,Z 129,Hyman Adler,Hyman Adler,Young Wife and Old Man,,12/1/1910,,1910,"New York, NY",Zon 8008,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S4,16.1,Z 130-1,Hyman Adler,Hyman Adler,The Striker,,12/1/1910,,1910,"New York, NY",Zon,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S5,16.1,Z 131-1,Hyman Adler,Hyman Adler,On the Old Year,,12/1/1910,,1910,"New York, NY",Zon,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S6,16.1,Z 132-1,Hyman Adler,Hyman Adler,In the Cold Catskill Mountains,,12/1/1910,,1910,"New York, NY",Zon,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S7,16.1,Z 133-1,Hyman Adler,Hyman Adler,Azoi Schnell Wie Men Ruft Dir Zurick (As Quick As You Are Called),,12/1/1910,,1910,"New York, NY","Zon 51002, Vi S8342 (12'')","Zonophone, Victor ","Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S8,16.1,Z 134-1,Hyman Adler,Hyman Adler,Jisrulicks Leiden,,12/1/1910,,1910,"New York, NY","Zon 51003, V168343 (12”)","Zonophone, Victor ","Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S9,16.1,19219-1,Hyman Adler,Hyman Adler,Dus Pitzale Kind,,1/30/11,,1911,"New York, NY",Co E814,Columbia,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S10,16.1,19220-1,Hyman Adler,Hyman Adler,Lieb Mich In Die Welt Is Mein,,1/30/11,,1911,"New York, NY",Co E811,Columbia,"Tenor, Chorus, Orchestra","Hyman Adler (tenor), Ernst R. Ball (composer)","Hyman Adler (tenor), Ernest R. Ball (composer)",
S11,16.1,19221-1,Hyman Adler,Hyman Adler,Shabes Koides,,1/30/11,,1911,"New York, NY",Co E811,Columbia,"Tenor, Chorus, Orchestra","Hyman Adler (tenor), Otto Motzan (composer)","Hyman Adler (tenor), Otto Motzan (composer)",
S12,16.1,19222-2,Hyman Adler,Hyman Adler,Kadish,,1/30/11,,1911,"New York, NY",Co E812,Columbia,"Tenor, Chorus, Orchestra",,Hyman Adler (tenor),
S13,16.1,19238-2,Hyman Adler,Hyman Adler,Al Tashlichenu ,,2/17/1911,,1911,"New York, NY",Co E812,Columbia,"Tenor, Orchestra",Joseph Brody & Louis Friedsel (composers);  A. Teres (arranger),"Hyman Adler (tenor), Joseph Brody (composer), Louis Friedsell (composer), A. Teres (arranger)",
S14,16.1,19239-1,Hyman Adler,Hyman Adler,Wejiten L'cho,,2/17/1911,,1911,"New York, NY",Co E813,Columbia,"Tenor, Orchestra",,Hyman Adler (tenor),
S15,16.1,19240-1,Hyman Adler,Hyman Adler,Yom Hachupe,,2/17/1911,,1911,"New York, NY",Co E814,Columbia,"Tenor, Orchestra",,Hyman Adler (tenor),
S16,16.1,19241-1,Hyman Adler,Hyman Adler,Hot Ihr Nit Gesehn Mein Moishe,,2/17/1911,,1911,"New York, NY",Co E813,Columbia,"Tenor, Orchestra",Arnold Perlmutter & Herman Wohl (composers),"Hyman Adler (tenor), Arnold Perlmutter (composer), Herman Wohl (composer)",
S17,16.1,30679-1,Hyman Adler,Hyman Adler,"Gott, Mensch Und Teufel: Mismor L' David",,2/17/1911,,1911,"New York, NY","Co E5019 (12"")",Columbia,"Tenor, Orchestra",Joseph Brody (composer),"Hyman Adler (tenor), Joseph Brody (composer)",
S18,16.1,30680-1,Hyman Adler,Hyman Adler,Die New Yorker Treren,,2/17/1911,,1911,"New York, NY","Co E5019 (12"")",Columbia,"Tenor, Orchestra",H. Altman (composer),"Hyman Adler (tenor), Hyman Altman (composer)",
S19,16.1,19249-,Hyman Adler,Hyman Adler,"Gott, Mensch Und Teufel: Mismor Le David ",,3/3/1911,,1911,"New York, NY",Co rej,Columbia,"Tenor, Orchestra",Joseph Brody (composer),"Hyman Adler (tenor), Joseph Brody (composer)",
S20,16.1,19249-,Hyman Adler,Hyman Adler,Dis Heilige Sekele,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY","Ed 10009 (4 min), 10062 (4 min)",Edison,"Tenor, Orchestra",Otto Motzan (composer),"Hyman Adler (tenor), Otto Motzan (composer)",
S21,16.1,19249-,Hyman Adler,Hyman Adler,Die New-Yorker Treren,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY","Ed 10010 (4 min), 10063 (4 min)",Edison,"Tenor, Orchestra",H. Altman (composer),"Hyman Adler (tenor), Hyman Altman (composer)",
S22,16.1,19249-,Hyman Adler,Hyman Adler,Dus Pitzaly Kind  ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21024 (2 min),Edison,"Tenor, Orchestra",Otto Motzan (composer),"Hyman Adler (tenor), Otto Motzan (composer)",
S23,16.1,19249-,Hyman Adler,Hyman Adler,Shabes Koidesh  ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21025 (2 min),Edison,"Tenor, Orchestra",Otto Motzan (composer),"Hyman Adler (tenor), Otto Motzan (composer)",
S24,16.1,19249-,Hyman Adler,Hyman Adler,Kasar Tuira ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21026 (2 min),Edison,"Tenor, Orchestra",Otto Motzan (composer),"Hyman Adler (tenor), Otto Motzan (composer)",
S25,16.1,19249-,Hyman Adler,Hyman Adler,Yom Hachupo ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21027 (2 min),Edison,"Tenor, Orchestra",,Hyman Adler (tenor),
S26,16.1,19249-,Hyman Adler,Hyman Adler,Moishe Rabeinu ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21028 (2 min),Edison,"Tenor, Orchestra",,Hyman Adler (tenor),
S27,16.1,19249-,Hyman Adler,Hyman Adler,Al Tashlichenu ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21029 (2 min),Edison,"Tenor, Orchestra",,Hyman Adler (tenor),
S28,16.1,19249-,Hyman Adler,Hyman Adler,Wejiten L'cho  ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21030 (2 min),Edison,"Tenor, Orchestra",Joseph Rumshisky (composer),"Hyman Adler (tenor), Joseph Rumshinsky (composer)",
S29,16.1,19249-,Hyman Adler,Hyman Adler,Hot Ihr Nit Gesehn Mein Moishe  ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21031 (2 min),Edison,"Tenor, Orchestra",Arnold Perlmutter & Herman Wohl (composers),"Hyman Adler (tenor), Arnold Perlmutter (composer), Herman Wohl (composer)",
S30,16.2,x,Sholem Aleichem ,Sholom Aleichem (Solomon Rabinowitz),If I Were Rothschild-A Joyful Holiday,,9/7/1915,,1915,"New York, NY",Vi 60144,Victor,Spoken,,Sholem Aleichem (speaker),Sholom Aleichem [Solomon Rabinowitz] 1859-1916
S31,16.3,43677-2,Jeanne Alfred,Jeanne Feinberg,Rosinkes Mit Mandlen,,,1916,1916,"New York, NY",Co E2856,Columbia,"Soprano, Orchestra",Abraham Goldfadden (composer),"Jeanne Alfred (soprano), Abraham Goldfaden (composer)",
S32,16.3,x,Jeanne Alfred,Jeanne Feinberg,Rosinkes Mit Mandlen,,10/30/1916,,1916,"New York, NY",Vi trial,Victor,"Soprano, Piano",Edward T. King (piano),"Jeanne Alfred (soprano), Edward T. King (piano)",
S33,16.3,B 21755-1,Jeanne Alfred,Jeanne Alfred,Kleine Micheleke,,4/10/1918,,1918,"New York, NY",Vi 72352,Victor,"Soprano, Orchestra",Nathaniel Shilkret (director),"Jeanne Alfred (soprano), Nathaniel Shilkret (director)",
S34,16.3,B 21756-2,Jeanne Alfred,Jeanne Alfred,Aliluli Schluf-Cradle Song,,4/10/1918,,1918,"New York, NY",Vi rej,Victor,"Soprano, Orchestra",Nathaniel Shilkret (director),"Jeanne Alfred (soprano), Nathaniel Shilkret (director)",
S35,16.3,B 21756-4,Jeanne Alfred,Jeanne Alfred,Aliluli Schluf-Cradle Song,,6/6/1918,,1918,"New York, NY",Vi 72352,Victor,"Soprano, Orchestra",Nathaniel Shilkret (director),"Jeanne Alfred (soprano), Nathaniel Shilkret (director)",
S36,16.3,8019,Jeanne Alfred,Jeanne Alfred,Hatikvoh (The Song of Zion),,9/1921,,1921,"New York, NY",Vo 14268,Vocalion,"Soprano, Orchestra",Naftali Hertz Imber (text),"Jeanne Alfred (soprano), Naftali Herz Imber (text)",
S37,16.3,8150,Jeanne Alfred,Jeanne Alfred,Rosinkes Mit Mandlen-Jewish Lullaby ,,10/1921,,1921,"New York, NY",Vo 14268,Vocalion,"Soprano, Orchestra",Abraham Goldfaden (composer),"Jeanne Alfred (soprano), Abraham Goldfaden (composer)",
S38,16.3,9357,Jeanne Alfred,Jeanne Alfred,Meyerke Mein Suhn ,,,07/1922,1922,"New York, NY",Vo 14397,Vocalion,"Soprano, Orchestra",Ravel & Bowers (composers),a,
S39,16.3,9362,Jeanne Alfred,Jeanne Alfred,Geh Ich Mir Schpatzieren ,,,07/1922,1922,"New York, NY",Vo 14397,Vocalion,"Soprano, Orchestra",,Jeanne Alfred (soprano),
S40,16.4,41031-2,William Alperovitz,Rev. William Alperovitz,Umipnei Chatoeinu-Pt. 1 ,,,03/1920,1920,"New York, NY",Em 13054,Emerson,"Vocal, Organ",,William Alperovitz (vocal),
S41,16.4,41032-1,William Alperovitz,Rev. William Alperovitz,Umipnei Chatoeinu-Pt. 2 ,,,03/1920,1920,"New York, NY",Em 13054,Emerson,"Vocal, Organ",,William Alperovitz (vocal),
S42,16.4,41030-1 / 41047-1,William Alperovitz,Rev. William Alperovitz,Rachmono,,,03/1920,1920,"New York, NY",Em 13057,Emerson,"Vocal, Organ",,William Alperovitz (vocal),"Matrix number not provided in Spottswood, taken from FAU archive"
S43,16.5,503-A,Isaac Angel,Isaac Angel,Falsa I Mentirosa-Nina Gazel,,09/1923,,1923,"New York, NY",Espagnol Ge (?),Gennett,Vocal,,Isaac Angel (vocal),Probably sung in Ladino
S44,16.5,504-A,Isaac Angel,Isaac Angel,A Granada,,09/1923,,1923,"New York, NY",Espagnola Ge (?),Gennett,Vocal,,Isaac Angel (vocal),Probably sung in Ladino
S45,16.6,W 108031-1,Mischa Appelbaum ,Mischa Appelbaum ,"Die Chasidim, Der Rebbi Un Der Gabbi",,06/1927,,1927,"New York, NY",Co 8143-F,Columbia,"Baritone, Orchestra",,Mischa Appelbaum (baritone),
S46,16.6,W 108032-1,Mischa Appelbaum,Mischa Appelbaum,Feige Mit'n Kugel,,06/1927,,1927,"New York, NY",Co 8143-F,Columbia,"Baritone, Orchestra",,Mischa Appelbaum (baritone),
S47,16.7,BVE 41228-2,Workmen's Circle Chorus,Arbeiter Ring Chor,Mai Lied (May Song),,12/13/1927,,1927,"New York, NY",Vi 80602,Victor,"Chorus, Orchestra",Meyer Posner (composer and director); Alfredo Cibelli (director),"Workmen's Circle Chorus (chorus), Meyer Posner (composer), Meyer Posner (director), Alfredo Cibelli (director)",
S48,16.7,BVE 41229-2,Workmen's Circle Chorus,Arbeiter Ring Chor ,Potpourri-Jewish Folk Songs,,12/13/1927,,1927,"New York, NY",Vi 80602,Victor,"Chorus, Orchestra",Meyer Posner (arranger and director); Alfredo Cibelli (director),"Workmen's Circle Chorus (chorus), Meyer Posner (composer), Meyer Posner (director), Alfredo Cibelli (director)",
S49,16.7,CVE 41230-2,Workmen's Circle Chorus,Arbeiter Ring Chor,"Avram, Avram",,12/13/1927,,1927,"New York, NY","Vi 68937 (12"")",Victor,"Chorus, Orchestra",Meyer Posner (arranger and director); Alfredo Cibelli (director),"Workmen's Circle Chorus (chorus), Meyer Posner (composer), Meyer Posner (director), Alfredo Cibelli (director)",
S50,16.7,CVE 41231-1,Workmen's Circle Chorus,Arbeiter Ring Chor,Siberia,,12/13/1927,,1927,"New York, NY","Vi 68937 (12"")",Victor,"Chorus, Orchestra",Meyer Posner (arranger and director); Alfredo Cibelli (director),"Workmen's Circle Chorus (chorus), Meyer Posner (composer), Meyer Posner (director), Alfredo Cibelli (director)",
S51,16.8,BS 062894-1,The Barry Sisters,Bagelman Sisters,Ich Hob Dich (You Are Mine),,03/26/1941,,1941,"New York, NY","Vi V-9090, 25-5052",Victor,"Vocal, Piano, Sousaphone, Trumpet, Violin",Charles Tauber & Sholom Secunda (composers); Dave Tarras (instruments),"The Barry Sisters (vocals), Charles Tauber (composer), Sholom Secunda (composer), Dave Tarras (instruments)",
S52,16.8,BS 062895-1,The Barry Sisters,Bagelman Sisters,Ai-Digidai-Polka,,03/26/1941,,1941,"New York, NY","Vi V-9086, 25-5048",Victor,"Vocal, Piano, Sousaphone, Trumpet, Violin",A. Ellstein (composer); Dave Tarras (instruments),"The Barry Sisters (vocals), Abraham Ellstein (composer), Dave Tarras (instruments)",
S53,16.8,BS 062896-1,The Barry Sisters,Bagelman Sisters,Sing Es Mir Nochamul (Tell It To Me Again),,03/26/1941,,1941,"New York, NY","Vi V-9086, 25-5048",Victor,"Vocal, Piano, Sousaphone, Trumpet, Violin",J. Jacobs & A. Ellstein (composers); Dave Tarras (instruments),"The Barry Sisters (vocals), Jacob Jacobs (composer), Abraham Ellstein (composer), Dave Tarras (instruments)",
S54,16.8,BS 062897-1,The Barry Sisters,Bagelman Sisters,Sug Farvus (Tell Me Why),,03/26/1941,,1941,"New York, NY","Vi V-9090, 25-5052",Victor,"Vocal, Piano, Sousaphone, Trumpet, Violin",J. Jacobs & A. Ellstein (composers); Dave Tarras (instruments),"The Barry Sisters (vocals), Jacob Jacobs (composer), Abraham Ellstein (composer), Dave Tarras (instruments)",
S55,16.8,BS 065065-1,The Barry Sisters,Barry Sisters,Joey's Got A Girl,,04/29/1941,,1941,"New York, NY",Std T-2013,Standard ,"Vocals, Clarinet, Drum, Guitar, Piano, Sousaphone, Trombone, Trumpet","Milton Leeds, Fred Wise, & Joe Lazarz (composers); Sammy Meade's Orchestra (orchestra)","The Barry Sisters (vocals), Milton Leeds (composer), Fred Wise (composer), Joe Lazarz (composer), Sammy Meade's Orchestra (orchestra)",
S56,16.8,BS 065066-1,The Barry Sisters,Barry Sisters,Pound Your Table Polka (One More Chorus),,04/29/1941,,1941,"New York, NY",Std T-2005,Standard ,"Vocals, Clarinet, Drum, Guitar, Piano, Sousaphone, Trombone, Trumpet","Harry Lenk, Kerwin Drake, & D. Zattas (composers); Sammy Meade's Orchestra (orchestra)","The Barry Sisters (vocals), Hans Lengsfelder (composer), Kerwin Drake (composer), D. Zattas (composer), Sammy Meade's Orchestra (orchestra)",
S57,16.8,BS 065067-1,The Barry Sisters,Barry Sisters,Pussy Cat Agony Five,,04/29/1941,,1941,"New York, NY",Std T-2013,Standard ,"Vocals, Clarinet, Drum, Guitar, Piano, Sousaphone, Trombone, Trumpet",S.K. Russell & Mart Fryberg (composers); Sammy Meade's Orchestra (orchestra),"The Barry Sisters (vocals), Bob Russell (composer), Mart Fryberg (composer), Sammy Meade's Orchestra (orchestra)",
S58,16.8,BS 065068-1,The Barry Sisters,Barry Sisters,Old Chief Walla Hoo,,04/29/1941,,1941,"New York, NY",Std T-2005,Standard ,"Vocals, Clarinet, Drum, Guitar, Piano, Sousaphone, Trombone, Trumpet",Clarence A. Stout (composer); Sammy Meade's Orchestra (orchestra),"The Barry Sisters (vocals), Clarence A. Stout (composer), Sammy Meade's Orchestra (orchestra)",
S59,16.8,BS 073389-1,The Barry Sisters,Bagelman Sisters,A Vaibele A Tsnien (A Good Wife),,03/12/1942,,1942,"New York, NY","Vi V-9108, 25-5070",Victor,"Vocals, Clarinet, Piano, Sousaphone, Trumpet, Violin",Joseph M. Rumshinsky (composer); Isidor Lillian (words); J. Levitt (tp); Giulietta Morino (vln); Dave Tarras (cl); Abe Ellstein (p); Charles Galazan (sos) ,"The Barry Sisters (vocals), Joseph Rumshinsky (composer), Isidore Lillian (words), J. Levitt (tp), Giulietta Morino (vln), Dave Tarras (cl), Abraham Ellstein (p), Charles Galazan (sos) ",
S60,16.8,BS 073390-1,The Barry Sisters,Bagelman Sisters,Pacht Mit Die Hent (Slap Your Hands) ,,03/12/1942,,1942,"New York, NY","Vi V-9106, 25-5068",Victor,"Vocals, Clarinet, Piano, Sousaphone, Trumpet, Violin",A. Ellstein (composer); J. Levitt (tp); Giulietta Morino (vln); Dave Tarras (cl); Abe Ellstein (p); Charles Galazan (sos) ,"The Barry Sisters (vocals), Abraham Ellstein (composer), J. Levitt (tp), Giulietta Morino (vln), Dave Tarras (cl), Abraham Ellstein (p), Charles Galazan (sos) ",
S61,16.8,BS 073391-1,The Barry Sisters,Bagelman Sisters,"Zog, Zog, Zog Es Mir (Tell Me)",,03/12/1942,,1942,"New York, NY","Vi V-9106, 25-5068",Victor,"Vocals, Clarinet, Piano, Sousaphone, Trumpet, Violin",Charles Tauber & Ilia Trilling (composers); J. Levitt (tp); Giulietta Morino (vln); Dave Tarras (cl); Abe Ellstein (p); Charles Galazan (sos) ,"The Barry Sisters (vocals), Charles Tauber (composer), Ilia Trilling (composer), J. Levitt (tp), Giulietta Morino (vln), Dave Tarras (cl), Abraham Ellstein (p), Charles Galazan (sos) ",
S62,16.8,BS 073392-1,The Barry Sisters,Bagelman Sisters,Prost In Pushet (Plain and Simple),,03/12/1942,,1942,"New York, NY","Vi V-9108, 25-5070",Victor,"Vocals, Clarinet, Piano, Sousaphone, Trumpet, Violin",M. Picon & A. Ellstein (composers); J. Levitt (tp); Giulietta Morino (vln); Dave Tarras (cl); Abe Ellstein (p); Charles Galazan (sos) ,"The Barry Sisters (vocals), Molly Picon (composer), Abraham Ellstein (composer), J. Levitt (tp), Giulietta Morino (vln), Dave Tarras (cl), Abraham Ellstein (p), Charles Galazan (sos) ",
S63,16.9,67970,Belle Baker,Belle Baker,Duvid Hamelech's Fidel,,,11/1919,1919,"New York, NY","Pat 49114, 040220 (12""), 03580 (10'')",Pathe,"Vocal, Orchestra",,Belle Baker (vocal),
S64,16.9,68005,Belle Baker,Belle Baker,Eli Eli,,,11/1919,1919,"New York, NY","Pat 49114, 040220 (12''), 03580, Pe 11163 (10'')",Pathe,"Vocal, Orchestra",,Belle Baker (vocal),
S65,16.9,CVE 33566-2,Belle Baker,Belle Baker,"Eili Eili (Father, Why Hast Though Forsaken Me?)",,10/13/1925,,1925,"New York, NY",Vi 35762 (12''),Victor,"Vocal, Cello, Cornet, Flute, Piano, Tuba, 2 Violin",Belle Baker (arranger); Nathaniel Shilkret (director),"Belle Baker (vocal), Belle Baker (arranger), Nathaniel Shilkret (director)",
S66,16.9,CVE 33567-3,Belle Baker,Belle Baker,My Yiddishe Momme (My Jewish Mother),,10/13/1925,,1925,"New York, NY",Vi 35762 (12''),Victor,"Vocal, Cello, Cornet, Flute, Piano, Tuba, 2 Violin",Jack Yellen & Lew Pollack (composers); Nathaniel Shilkret (director),"Belle Baker (vocal), Jack Yellen (composer), Lew Pollack (composer), Nathaniel Shilkret (director)",
S67,16.9,XE 37030,Belle Baker,Belle Baker,David Hamelech,,08/1931,,1931,"New York, NY","Br 20101, 85002, 0104 (12"")",Brunswick ,"Vocal, Orchestra",Victor Young (director),"Belle Baker (vocal), Victor Young (director)",
S68,16.9,XE 37031,Belle Baker,Belle Baker,Eili Eili,,08/1931,,1931,"New York, NY","Br 20101, 85002, 0104 (12'')",Brunswick,"Vocal, Orchestra",Victor Young (director),"Belle Baker (vocal), Victor Young (director)",
S69,16.10,CO 32544-1,Jan Bart,Jan Bart,Zmiros,,03/03/1942,,1942,"New York, NY",Co 8229-F,Columbia,"Tenor, Orchestra",Sholom Secunda & J. Jacobs (composers); Sholom Secunda (director),"Jan Bart (tenor), Sholom Secunda (composer), Sholom Secunda (director), Jacob Jacobs (composer) ",
S70,16.10,CO 32545-1 ,Jan Bart,Jan Bart,Hatzlichoh No-Palestinian Folk Melody,,03/03/1942,,1942,"New York, NY",Co 8229-F,Columbia,"Tenor, Orchestra",H. Leftkowitch (arranger); Sholom Secunda (director),"Jan Bart (tenor), Harry Lefkowitch (arranger), Sholom Secunda (director)",
S71,16.10,CO 32546-1 ,Jan Bart,Jan Bart,Mein Zeiere,,03/03/1942,,1942,"New York, NY",Co 8230-F,Columbia,"Tenor, Orchestra",I. Trilling & O. Ostroff (composers); Sholom Secunda (director),"Jan Bart (tenor), Ilia Trilling (composer), Oscar Ostroff (composer), Sholom Secunda (director)",
S72,16.10,CO 32547,Jan Bart,Jan Bart,Amcho,,03/03/1942,,1942,"New York, NY",Co 8230-F,Columbia,"Tenor, Orchestra",Sholom Secunda & C. Towber (composers); Sholom Secunda (director),"Jan Bart (tenor), Sholom Secunda (composer), Sholom Secunda (director), C. Towber (composer)",
S73,16.11,E 28584,Harry Beckerman's Metronome Orchestra,Harry Beckerman's Metronome Orchestra,Ich Benk A Heim (Longing For My Home)-Doina ,,10/30/1928,,1928,"New York, NY",Br 67129,Brunswick,Orchestra ,Harry Beckerman (composer),"Harry Beckerman (composer), Harry Beckerman's Metronome Orchestra (orchestra)",5-man orchestra
S74,16.11,E 28585,Harry Beckerman's Metronome Orchestra,Harry Beckerman's Metronome Orchestra,Trauben Zeit (Vintage Time)-Bulgar,,10/30/1928,,1928,"New York, NY",Br 67129,Brunswick,Orchestra,,Harry Beckerman's Metronome Orchestra (orchestra),5-man orchestra
S75,16.12,89565-2,Shloimke Beckerman,Shloimke Beckerman,Hot Azoi,,,12/1923,1923,"New York, NY",Co 8013-F,Columbia,"Clarinet, Orchestra",Abe Schwartz (director),"Shloimke Beckerman (clarinet), Abe Schwartz (director)",
S76,16.12,89566-1,Shloimke Beckerman,Shliomke Beckerman,Ismechu,,,12/1923,1923,"New York, NY",Co 8013-F,Columbia,"Clarinet, Orchestra",Abe Schwartz (director),"Shloimke Beckerman (clarinet), Abe Schwartz (director)",
S77,16.12,x,Shloimke Beckerman,Shliomke Beckerman,"T'kias ""Shofer Blosen""",,,12/1923,1923,"New York, NY",Co 8036-F,Columbia,"Clarinet, Orchestra",Abe Schwartz (director),"Shloimke Beckerman (clarinet), Abe Schwartz (director)",
S78,16.12,x,Shloimke Beckerman,Shliomke Beckerman,A Galitzianer Tenzil,,,12/1923,1923,"New York, NY",Co 8036-F,Columbia,"Clarinet, Orchestra",Abe Schwartz (director),"Shloimke Beckerman (clarinet), Abe Schwartz (director)",
S79,16.13,11232-B,Shlomo Beinhorn,Mr. S. Beinhorn,Al Tiro Mipachad,,11/15/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,Shlomo Beinhorn (cantor),
S80,16.13,11233-B,Shlomo Beinhorn,Mr. S. Beinhorn,Oshamnu Mikol Om,,11/15/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,Shlomo Beinhorn (cantor),
S81,16.13,11234,Shlomo Beinhorn,Mr. S. Beinhorn,Vieni Sul Mar,,11/15/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,Shlomo Beinhorn (cantor),Probably sung in Italian
S82,16.13,11248-B,Shlomo Beinhorn,Mr. S. Beinhorn,Oshamnu Mikol Om,,11/29/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,Shlomo Beinhorn (cantor),
S83,16.13,11249-A,Shlomo Beinhorn,Mr. S. Beinhorn,Al Tiro Mipachad,,11/29/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,Shlomo Beinhorn (cantor),
S84,16.13,11250,Shlomo Beinhorn,Mr. S. Beinhorn,Mi Chamocha,,11/29/1922,,1922,"Richmond, IN",Ge,Gennett,Cantor,,Shlomo Beinhorn (cantor),
S85,16.13,N 105617,Shlomo Beinhorn,Cantor Shlomo Beinhorn,"V'lyrushalayim, From Keshinever Stadt Shul",,10/1924,,1924,"New York, NY",Pat 100,Pathe,"Cantor, Organ",,Shlomo Beinhorn (cantor),
S86,16.13,N 105618,Shlomo Beinhorn,Cantor Shlomo Beinhorn,Al Tiroh,,10/1924,,1924,"New York, NY",Pat 100,Pathe,"Cantor, Organ",,Shlomo Beinhorn (cantor),
S87,16.13,755-1,Shlomo Beinhorn,Cantor Shlomo Beinhorn,Elohai Neshama,,,1920s,1920,"New York, NY","Hazimru B-3017 (12"")",Hazimru Phonograph Record Company,"Cantor, Piano",Meyrowec (composer),"Shlomo Beinhorn (cantor), David Meyerowitz (composer)",
S88,16.13,756-1,Shlomo Beinhorn,Cantor Shlomo Beinhorn,Uvamakheilos,,,1920s,1920,"New York, NY","Hazimru B-3017 (12"")",Hazimru Phonograph Record Company,"Cantor, Piano",Rumisinsky (composer),"Shlomo Beinhorn (cantor), Joseph Rumshinsky (composer)",
S89,16.14,BS 028347-1,Sidor Belarsky,Sidor Belarsky,Volga,,11/1/1938,,1938,"New York, NY","Vi V-21120, 26-5016",Victor,"Baritone, Piano",Anaviev (arranger); Lazar Weiner (piano),"Sidor Belarsky (baritone), Anaviev (arranger), Lazar Weiner (piano)",In Russian
S90,16.14,BS 028348-1 ,Sidor Belarsky,Sidor Belarsky,Dem Zeidens Bruche,,11/1/1938,,1938,"New York, NY","Vi V-9043, 25-5010, 25-5155, 53-5155 (45)",Victor,"Baritone, Piano",Sidor Belarsky (arranger); Lazar Weiner (piano),"Sidor Belarsky (baritone), Sidor Belarsky (arranger), Lazar Weiner (piano)",
S91,16.14,BS 028349-1 ,Sidor Belarsky,Sidor Belarsky,Student's Song,,11/1/1938,,1938,"New York, NY","Vi V-21120, 26-5016",Victor,"Baritone, Piano",Ippolitovvanov (composer); Lazar Weiner (piano),"Sidor Belarsky (baritone), Mikhail Mikhaylovich Ippolitov-Ivanov (composer), Lazar Weiner (piano)",In Russian
S92,16.14,BS 028350-1 ,Sidor Belarsky,Sidor Belarsky,Dem Milner's Trern (The Miller's Tears),,11/1/1938,,1938,"New York, NY","Vi V-9043, 25-5010, 25-5155, 53-5155 (45)",Victor,"Baritone, Piano",Warshavsky (composer); Lazar Weiner (piano),"Sidor Belarsky (baritone), Mark Markovich Warshawsky (composer), Lazar Weiner (piano)",
S93,16.14,BS 036581-1 ,Sidor Belarsky,Sidor Belarsky,Veulai,,03/02/1939,,1939,"New York, NY",Vi rej,Victor,"Baritone, Cello, Piano, Violin",Shertok (composer),"Sidor Belarsky (baritone), Yehudah Sharett (composer)",
S94,16.14,BS 036582-1 ,Sidor Belarsky,Sidor Belarsky,Sholosh Sudos ,,03/02/1939,,1939,"New York, NY",Vi rej,Victor,"Baritone, Cello, Piano, Violin",Sidor Belarsky (arranger),"Sidor Belarsky (baritone), Sidor Belarsky (arranger)",
