"trackID","albumID"
"P8705","AP1013"
"P10784","AP1014"
"P14685","AP1014"
"P15388","AP1014"
"P17562","AP1014"
"P19176","AP1014"
"P3018","AP1014"
"P5475","AP1014"
"P6557","AP1014"
"P7277","AP1014"
"P8366","AP1014"
"P8987","AP1014"
"P9927","AP1014"
"P12343","AP1015"
"P13147","AP1015"
"P13334","AP1015"
"P14831","AP1015"
"P15389","AP1015"
"P1579","AP1015"
"P2161","AP1015"
"P3043","AP1015"
"P4041","AP1015"
"P4322","AP1015"
"P5161","AP1015"
"P10844","AP1016"
"P11601","AP1016"
"P11722","AP1016"
"P13613","AP1016"
"P14303","AP1016"
"P14837","AP1016"
"P1729","AP1016"
"P18507","AP1016"
"P18709","AP1016"
"P2112","AP1016"
"P3342","AP1016"
"P3439","AP1016"
"P3481","AP1016"
"P3901","AP1016"
"P4323","AP1016"
"P5162","AP1016"
"P7246","AP1016"
"P27955","AP1017"
"P27956","AP1017"
"P27957","AP1017"
"P27958","AP1017"
"P27959","AP1017"
"P28080","AP1017"
"P28081","AP1017"
"P28082","AP1017"
"P28083","AP1017"
"P28084","AP1017"
"P28085","AP1017"
"P28086","AP1017"
"P28087","AP1017"
"P28088","AP1017"
"P28089","AP1017"
"P28090","AP1017"
"P28091","AP1017"
"P28092","AP1017"
"P28093","AP1017"
"P23309","AP1018"
"P23310","AP1018"
"P23311","AP1018"
"P23312","AP1018"
"P23313","AP1018"
"P23314","AP1018"
"P23315","AP1018"
"P23316","AP1018"
"P23317","AP1018"
"P23318","AP1018"
"P23319","AP1018"
"P23320","AP1018"
"P23321","AP1018"
"P23322","AP1018"
"P23323","AP1018"
"P23324","AP1018"
"P23325","AP1018"
"P23326","AP1018"
"P23327","AP1018"
"P23328","AP1018"
"P23329","AP1018"
"P23330","AP1018"
"P23331","AP1018"
"P23332","AP1018"
"P23333","AP1018"
"P23334","AP1018"
"P23335","AP1018"
"P23336","AP1018"
"P23337","AP1018"
"P23338","AP1018"
"P23339","AP1018"
"P23340","AP1018"
"P23341","AP1018"
"P23342","AP1018"
"P23343","AP1018"
"P23344","AP1018"
"P23345","AP1018"
"P23346","AP1018"
"P23347","AP1018"
"P23348","AP1018"
"P23349","AP1018"
"P23350","AP1018"
"P23351","AP1018"
"P23352","AP1018"
"P23353","AP1018"
"P23354","AP1018"
"P23355","AP1018"
"P23356","AP1018"
"P23357","AP1018"
"P23358","AP1018"
"P23359","AP1018"
"P23360","AP1018"
"P23361","AP1018"
"P23362","AP1018"
"P23363","AP1018"
"P23364","AP1018"
"P23365","AP1018"
"P23366","AP1018"
"P23367","AP1018"
"P23368","AP1018"
"P23369","AP1018"
"P23005","AP1019"
"P23006","AP1019"
"P23007","AP1019"
"P23008","AP1019"
"P23009","AP1019"
"P23010","AP1019"
"P23011","AP1019"
"P23012","AP1019"
"P23013","AP1019"
"P23014","AP1019"
"P23015","AP1019"
"P23016","AP1019"
"P23017","AP1019"
"P23018","AP1019"
"P23019","AP1019"
"P23020","AP1019"
"P23021","AP1019"
"P23022","AP1019"
"P23023","AP1019"
"P23024","AP1019"
"P23025","AP1019"
"P23026","AP1019"
"P23027","AP1019"
"P23028","AP1019"
"P23029","AP1019"
"P23030","AP1019"
"P23031","AP1019"
"P23032","AP1019"
"P23033","AP1019"
"P23034","AP1019"
"P23035","AP1019"
"P23036","AP1019"
"P23037","AP1019"
"P23038","AP1019"
"P23039","AP1019"
"P23040","AP1019"
"P23041","AP1019"
"P23042","AP1019"
"P23043","AP1019"
"P23044","AP1019"
"P23045","AP1019"
"P23046","AP1019"
"P23047","AP1019"
"P23370","AP1019"
"P23371","AP1019"
"P23372","AP1019"
"P23373","AP1019"
"P23374","AP1019"
"P23375","AP1019"
"P23376","AP1019"
"P23377","AP1019"
"P23378","AP1019"
"P23379","AP1019"
"P23380","AP1019"
"P23381","AP1019"
"P23382","AP1019"
"P23383","AP1019"
"P23384","AP1019"
"P23385","AP1019"
"P23386","AP1019"
"P23387","AP1019"
"P23388","AP1019"
"P10409","AP102"
"P11684","AP102"
"P11696","AP102"
"P12737","AP102"
"P13213","AP102"
"P13405","AP102"
"P13917","AP102"
"P16155","AP102"
"P1625","AP102"
"P16732","AP102"
"P17123","AP102"
"P4871","AP102"
"P6356","AP102"
"P7672","AP102"
"P24427","AP1020"
"P24428","AP1020"
"P24429","AP1020"
"P24430","AP1020"
"P24431","AP1020"
"P24432","AP1020"
"P24433","AP1020"
"P24434","AP1020"
"P24435","AP1020"
"P24436","AP1020"
"P24437","AP1020"
"P24438","AP1020"
"P24439","AP1020"
"P24440","AP1020"
"P24441","AP1020"
"P24442","AP1020"
"P24443","AP1020"
"P24008","AP1021"
"P24009","AP1021"
"P24010","AP1021"
"P24011","AP1021"
"P24012","AP1021"
"P24013","AP1021"
"P24014","AP1021"
"P24015","AP1021"
"P24016","AP1021"
"P24017","AP1021"
"P24046","AP1021"
"P24047","AP1021"
"P24485","AP1021"
"P24486","AP1021"
"P24487","AP1021"
"P24488","AP1021"
"P24489","AP1021"
"P24490","AP1021"
"P24491","AP1021"
"P24492","AP1021"
"P24493","AP1021"
"P26797","AP1022"
"P26798","AP1022"
"P26952","AP1022"
"P26953","AP1022"
"P26954","AP1022"
"P26955","AP1022"
"P26956","AP1022"
"P26957","AP1022"
"P26958","AP1022"
"P26959","AP1022"
"P26960","AP1022"
"P26961","AP1022"
"P26962","AP1022"
"P26963","AP1022"
"P26964","AP1022"
"P26965","AP1022"
"P26966","AP1022"
"P26967","AP1022"
"P26799","AP1023"
"P26800","AP1023"
"P26801","AP1023"
"P26802","AP1023"
"P26803","AP1023"
"P26804","AP1023"
"P26805","AP1023"
"P26806","AP1023"
"P26807","AP1023"
"P26808","AP1023"
"P26809","AP1023"
"P26810","AP1023"
"P26811","AP1023"
"P26812","AP1023"
"P26813","AP1023"
"P26814","AP1023"
"P26815","AP1023"
"P26816","AP1023"
"P26817","AP1023"
"P27242","AP1023"
"P27243","AP1023"
"P27244","AP1023"
"P27245","AP1023"
"P27246","AP1023"
"P26886","AP1024"
"P26887","AP1024"
"P26888","AP1024"
"P26889","AP1024"
"P26890","AP1024"
"P26891","AP1024"
"P26892","AP1024"
"P26893","AP1024"
"P26894","AP1024"
"P26895","AP1024"
"P26896","AP1024"
"P26897","AP1024"
"P26898","AP1024"
"P26899","AP1024"
"P26900","AP1024"
"P26901","AP1024"
"P26902","AP1024"
"P26903","AP1024"
"P26904","AP1024"
"P26905","AP1024"
"P26906","AP1024"
"P26907","AP1024"
"P26908","AP1024"
"P26909","AP1024"
"P26910","AP1024"
"P26932","AP1025"
"P26597","AP1026"
"P26787","AP1026"
"P26788","AP1026"
"P26789","AP1026"
"P26790","AP1026"
"P26791","AP1026"
"P26792","AP1026"
"P26793","AP1026"
"P26794","AP1026"
"P26795","AP1026"
"P26796","AP1026"
"P27068","AP1026"
"P27069","AP1026"
"P27070","AP1026"
"P27071","AP1026"
"P27072","AP1026"
"P27073","AP1026"
"P27074","AP1026"
"P27333","AP1026"
"P27334","AP1026"
"P26596","AP1027"
"P27066","AP1027"
"P27067","AP1027"
"P27132","AP1027"
"P27133","AP1027"
"P27134","AP1027"
"P27135","AP1027"
"P27335","AP1027"
"P27336","AP1027"
"P27337","AP1027"
"P27338","AP1027"
"P27136","AP1028"
"P27137","AP1028"
"P27138","AP1028"
"P27139","AP1028"
"P27140","AP1028"
"P27141","AP1028"
"P27142","AP1028"
"P27143","AP1028"
"P27144","AP1028"
"P27145","AP1028"
"P27146","AP1028"
"P27147","AP1028"
"P27148","AP1028"
"P27149","AP1028"
"P27150","AP1028"
"P27151","AP1028"
"P27152","AP1028"
"P27153","AP1028"
"P27154","AP1028"
"P27155","AP1028"
"P27156","AP1028"
"P27157","AP1028"
"P27158","AP1028"
"P27159","AP1028"
"P27160","AP1028"
"P27161","AP1028"
"P27162","AP1028"
"P27163","AP1028"
"P27164","AP1028"
"P27165","AP1028"
"P27166","AP1028"
"P27167","AP1028"
"P27168","AP1028"
"P27169","AP1028"
"P27170","AP1028"
"P27171","AP1028"
"P27172","AP1028"
"P27173","AP1028"
"P27174","AP1028"
"P27175","AP1028"
"P27176","AP1028"
"P27177","AP1028"
"P27178","AP1028"
"P27179","AP1028"
"P27180","AP1028"
"P27181","AP1028"
"P27182","AP1028"
"P27487","AP1029"
"P27488","AP1029"
"P27489","AP1029"
"P27490","AP1029"
"P27491","AP1029"
"P27492","AP1029"
"P27493","AP1029"
"P27494","AP1029"
"P27495","AP1029"
"P27496","AP1029"
"P27497","AP1029"
"P27498","AP1029"
"P27499","AP1029"
"P12105","AP103"
"P12363","AP103"
"P13113","AP103"
"P13260","AP103"
"P15230","AP103"
"P17598","AP103"
"P17838","AP103"
"P19189","AP103"
"P2732","AP103"
"P3437","AP103"
"P7328","AP103"
"P7630","AP103"
"P8164","AP103"
"P995","AP103"
"P28550","AP1030"
"P28551","AP1030"
"P28552","AP1030"
"P28553","AP1030"
"P28554","AP1030"
"P28555","AP1030"
"P28556","AP1030"
"P28557","AP1030"
"P28558","AP1030"
"P28512","AP1031"
"P28513","AP1031"
"P28514","AP1031"
"P28515","AP1031"
"P28516","AP1031"
"P28517","AP1031"
"P28518","AP1031"
"P28519","AP1031"
"P28520","AP1031"
"P28521","AP1031"
"P29167","AP1031"
"P29168","AP1031"
"P29173","AP1031"
"P29174","AP1031"
"P29175","AP1031"
"P29176","AP1031"
"P27860","AP1032"
"P28937","AP1032"
"P28938","AP1032"
"P28939","AP1032"
"P28940","AP1032"
"P28941","AP1032"
"P28942","AP1032"
"P28943","AP1032"
"P28944","AP1032"
"P29155","AP1032"
"P29156","AP1032"
"P29157","AP1032"
"P29158","AP1032"
"P29159","AP1032"
"P29160","AP1032"
"P29161","AP1032"
"P29162","AP1032"
"P29163","AP1032"
"P29164","AP1032"
"P29165","AP1032"
"P29166","AP1032"
"P10295","AP1033"
"P14327","AP1033"
"P15582","AP1033"
"P16932","AP1033"
"P18192","AP1033"
"P18386","AP1033"
"P18813","AP1033"
"P19198","AP1033"
"P8602","AP1033"
"P954","AP1033"
"P10468","AP1034"
"P10927","AP1034"
"P11316","AP1034"
"P11435","AP1034"
"P11816","AP1034"
"P13504","AP1034"
"P13645","AP1034"
"P15593","AP1034"
"P18189","AP1034"
"P2357","AP1034"
"P5082","AP1034"
"P15656","AP1035"
"P15885","AP1035"
"P16201","AP1035"
"P18268","AP1035"
"P18306","AP1035"
"P19574","AP1035"
"P20413","AP1035"
"P2596","AP1035"
"P4860","AP1035"
"P7607","AP1035"
"P7980","AP1035"
"P8721","AP1035"
"P11075","AP1036"
"P11732","AP1036"
"P12502","AP1036"
"P14662","AP1036"
"P15135","AP1036"
"P15721","AP1036"
"P15909","AP1036"
"P16557","AP1036"
"P18465","AP1036"
"P2018","AP1036"
"P7702","AP1036"
"P8869","AP1036"
"P986","AP1036"
"P1127","AP1037"
"P11970","AP1037"
"P13791","AP1037"
"P17168","AP1037"
"P18094","AP1037"
"P18323","AP1037"
"P19080","AP1037"
"P19988","AP1037"
"P2180","AP1037"
"P2181","AP1037"
"P2669","AP1037"
"P4148","AP1037"
"P4980","AP1037"
"P7263","AP1037"
"P7356","AP1037"
"P7992","AP1037"
"P930","AP1037"
"P10773","AP1038"
"P11364","AP1038"
"P11779","AP1038"
"P12477","AP1038"
"P13012","AP1038"
"P15719","AP1038"
"P17786","AP1038"
"P18328","AP1038"
"P2128","AP1038"
"P2182","AP1038"
"P2183","AP1038"
"P7690","AP1038"
"P8057","AP1038"
"P9565","AP1038"
"P12357","AP1039"
"P13258","AP1039"
"P13605","AP1039"
"P13620","AP1039"
"P13723","AP1039"
"P13876","AP1039"
"P14104","AP1039"
"P15240","AP1039"
"P15666","AP1039"
"P17946","AP1039"
"P20649","AP1039"
"P2184","AP1039"
"P2185","AP1039"
"P4812","AP1039"
"P6233","AP1039"
"P9354","AP1039"
"P11368","AP104"
"P12924","AP104"
"P13729","AP104"
"P13851","AP104"
"P14566","AP104"
"P15832","AP104"
"P50","AP104"
"P7266","AP104"
"P7427","AP104"
"P8182","AP104"
"P8433","AP104"
"P8736","AP104"
"P10004","AP1040"
"P1138","AP1040"
"P14682","AP1040"
"P14740","AP1040"
"P15327","AP1040"
"P18508","AP1040"
"P2186","AP1040"
"P2187","AP1040"
"P3711","AP1040"
"P4226","AP1040"
"P5797","AP1040"
"P6676","AP1040"
"P7383","AP1040"
"P8085","AP1040"
"P8744","AP1040"
"P10172","AP1041"
"P11348","AP1041"
"P12618","AP1041"
"P13963","AP1041"
"P15158","AP1041"
"P16164","AP1041"
"P1752","AP1041"
"P19485","AP1041"
"P2188","AP1041"
"P2189","AP1041"
"P3403","AP1041"
"P3686","AP1041"
"P5135","AP1041"
"P5356","AP1041"
"P6720","AP1041"
"P6973","AP1041"
"P7305","AP1041"
"P10120","AP1042"
"P10931","AP1042"
"P13467","AP1042"
"P13762","AP1042"
"P14423","AP1042"
"P15951","AP1042"
"P16611","AP1042"
"P17890","AP1042"
"P18469","AP1042"
"P19566","AP1042"
"P20041","AP1042"
"P2190","AP1042"
"P2191","AP1042"
"P2192","AP1042"
"P4781","AP1042"
"P4825","AP1042"
"P7863","AP1042"
"P8666","AP1042"
"P9889","AP1042"
"P20199","AP1043"
"P20200","AP1043"
"P20201","AP1043"
"P20202","AP1043"
"P20203","AP1043"
"P20204","AP1043"
"P20205","AP1043"
"P20206","AP1044"
"P20207","AP1044"
"P20208","AP1045"
"P20209","AP1045"
"P26675","AP1046"
"P26676","AP1046"
"P26677","AP1046"
"P26678","AP1046"
"P26679","AP1046"
"P26680","AP1046"
"P26681","AP1046"
"P27400","AP1046"
"P27401","AP1046"
"P27402","AP1046"
"P27403","AP1046"
"P27404","AP1046"
"P27405","AP1046"
"P27406","AP1046"
"P27407","AP1046"
"P27408","AP1046"
"P27410","AP1046"
"P27411","AP1046"
"P37827","AP1046"
"P27227","AP1047"
"P27228","AP1047"
"P27229","AP1047"
"P27230","AP1047"
"P27231","AP1047"
"P27232","AP1047"
"P27233","AP1047"
"P27234","AP1047"
"P27235","AP1047"
"P27236","AP1047"
"P27237","AP1047"
"P27238","AP1047"
"P27239","AP1047"
"P27240","AP1047"
"P27524","AP1048"
"P27525","AP1048"
"P27526","AP1048"
"P27527","AP1048"
"P27528","AP1048"
"P27529","AP1048"
"P27530","AP1048"
"P27531","AP1048"
"P27532","AP1048"
"P27533","AP1048"
"P27534","AP1048"
"P27535","AP1048"
"P27536","AP1048"
"P27537","AP1048"
"P27538","AP1048"
"P27539","AP1048"
"P27540","AP1048"
"P27541","AP1048"
"P27542","AP1048"
"P27543","AP1048"
"P27544","AP1048"
"P27545","AP1048"
"P17848","AP1049"
"P27837","AP1049"
