16454,Sholosh Sudos ,03/02/1939,1939,
16455,Georgian Melody ,03/02/1939,1939,In Russian
16456,I Greave ,03/02/1939,1939,In Russian
16457,Shir Hashamisha ,03/02/1939,1939,
16458,Dos Gebet,03/02/1939,1939,
16459,Sholosh Sudos ,03/23/1940,1940,
16460,Yam Lied (Sea Song),03/23/1940,1940,
16461,Veulai,03/23/1940,1940,
16462,Shir Hashamisha ,03/23/1940,1940,
16463,Zwei Briv,1940,1940,Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
16464,Shabes Beim Shalosh Sudos,1940,1940,Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
16465,A Nign,1940,1940,Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
16466,Viglid,1940,1940,Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
16467,Zeit Gezund,1940,1940,Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
16468,Reizele,1940,1940,Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
16469,Der Balagole,1940,1940,Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
16470,Shterendl,1940,1940,Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
16471,We Sat Together ,1940,1940,In Russian
16472,Not A Word ,1940,1940,In Russian
16473,Autumn,1940,1940,In Russian
16474,Florentine Song,1940,1940,In Russian
16475,Lullaby,1940,1940,In Russian
16476,Night,1940,1940,In Russian
16477,The Speech Maker Of The Cloak And Suit Makers' Union,07/1916,1916,In Yiddish and English
16478,The Delegate And The Shop Girl Of The Cloak And Suit Makers' Union,07/1916,1916,In Yiddish and English
16479,Die Jerushe,1906,1906,
16480,Avremele,1906,1906,
16481,Hob Ich Ongefangen Zu Loifen,1906,1906,
16482,My Uncle Sam,1906,1906,
16483,A Tfile Fun A Agune,1906,1906,
16484,Martha: Ir Sheinung,09/1921,1921,Birenzweig was the first tenor of Warsaw Opera
16485,Ireh Milde Oigen Elasir,09/1921,1921,Birenzweig was the first tenor of Warsaw Opera
16486,Shabes Far Macht Nuch Der Peide,1917,1917,
16487,Mazel Darf Men Hoben,1917,1917,
16488,A Gruss Fon Die Trenches-War Song,07/1918,1918,
16489,Uncle Sam-War Song,07/1918,1918,
16490,Scholem-Patriotic Song,10/1918,1918,
16491,Wen Die Boys Welen Komen Zurick-Patriotic Song,10/1918,1918,
16492,Kol-zman Shehanshomoh Bekirbi,08/1919,1919,
16493,In 100 Johr Arum,08/1919,1919,
16494,A Ligen,08/1921,1921,
16495,Giy Maidlech-Comishe Couplets,08/1921,1921,
16496,Hoffnung Mit Ferlier ,09/1917,1917,
16497,A Mensch Zol Men Sein ,09/1917,1917,
16498,"Eili, Eili, Lomoh Azawtoni ",06/1918,1918,
16499,Shenkt A Nedoweh ,06/1918,1918,
16500,"Eil Rachem, from ''The Golem'' ",03/17/1922,1922,"""with William Robyn """
16501,Der Siderel ,03/17/1922,1922,
16502,"Gott, Mensch Und Teufel: Chatzkel Drachme ",05/1917,1917,
16503,Der Fuchs Und Die Zieg ,05/1917,1917,
16504,Der Yiddisher May ,05/1917,1917,
16505,"Sis A Kurtzer Vehg (It Is But A Fleeting Moment), from ''Der Tate's Siendel"" ",02/11/1924,1924,
16506,Der Prisoner ,02/12/1924,1924,
16507,"Naches Fun Kinder (Joys From Children), from ''Die Drei Kales'' (The Three Brides) ",02/10/1925,1925,
16508,"Der Chasina Tanz (The Wedding Dance), from ''Die Drei Kales'' (The Three Brides)",02/10/1925,1925,
16509,"God, Man And Devil: Chazkel Drachme ",03/25/1925,1925,
16510,Purim Zu Der Seda (Sholem Aleichem) ,03/25/1925,1925,
16511,"Lechaim Breeder (To Your Health, Brother), from ''Die Lieb In Palestina'' (Love In Palestina)",10/15/1925,1925,
16512,Cabed Es Ovicho (Honor Your Father) (The Power Of Youth),12/11/1928,1928,
16513,David Hameilach Fiedele (King David's Violin),12/12/1928,1928,"""with Boris Rosenthal, Isidore Lipinsky"""
16514,Der Bronxer Feter Vegen Cheider-Pt. 1,12/1929,1929,
16515,Der Bronxer Feter Vegen Cheider-Pt. 2,12/1929,1929,
16516,Geigerl Marsch ,09/1920,1920,
16517,Doina Dela Orient (Orientalishe Doina),09/1920,1920,
16518,Trennung Walzer ,09/1920,1920,
16519,Foiu Verdi (Grine Bletter),09/1920,1920,
16520,Der Talis-Patriotic Song ,03/1921,1921,
16521,Shteh Auf Mein Folk,03/1921,1921,
16522,Die Boibriker Chasseneh-Pt. 1 ,03/1927,1927,"""The late Dave Tarras supplied the following personnel for this group: Abe Constantinofsky, Binyomin ''Louis"" Shuster-2 tp. Beresh Katz-vln. Dave Tarras. ? Lustig-2 cl/sax. Sam Spielman-tb, Sam Heller-p, Hymie Psevdonis-Sos, unknown 2d vln."""
16523,Die Boibriker Chasseneh-Pt. 2 ,03/1927,1927,
16524,Akdomes Un Af B'ri ,06/1927,1927,
16525,"Kinos, T'kios Un Ashrei ",06/1927,1927,
