Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
1997 CCAR - Miami - Shabbat Tape 1: Text Study: Sanctifying Shabbat: Kiddush & Havdahah,CCAR-101-1997,,Mark Washofsky,"Life Communications, Inc.",Cassette tape
1997 CCAR - Miami - Shabbat Tape 2: Creating a Shabbat Community: Friday Night? Saturday?,CCAR-102-1997,,M. Kram; L. Kushner; S. Milgrom,"Life Communications, Inc.",Cassette tape
1997 CCAR - Miami - Shabbat Tape 4: Taking Shabbat Home,CCAR-104-1997,,A. Greenbaum; D. Greenbaum; M. Michaels,"Life Communications, Inc.",Cassette tape
1997 CCAR - Miami - SYNA #3/Leadership #3: Leadership Models - Searching the Sources for Models,CCAR-110-1997,,David Ellenson,"Life Communications, Inc.",Cassette tape
1997 CCAR - Miami - T'Fila Tape 4: Language and Prayer,CCAR-166-1997,,Dr. Rachel Adler,"Life Communications, Inc.",Cassette tape
1997 CCAR - Miami - The Freehof Institute: (Part #1),CCAR-191-1997,,S. Passamaneck; C. Librach; M. Zemer ; R. Block,"Life Communications, Inc.",Cassette tape
1997 CCAR - Miami - The Freehof Institute: (Part #2),CCAR-192-1997,,S. Passamaneck; C. Librach; M. Zemer ; R. Block,"Life Communications, Inc.",Cassette tape
1998 CCAR - Anaheim - The Love that Dare not Speak its Name,,,C. Angel; J. Danzig ; J. Litman,"Life Communications, Inc.",Cassette tape
"2 Live Jews: ""As Kosher as They Wanna Be""",HTCD3328,,MC Moisha ; Easy Irving,Kosher Records,CD
"2 Live Jews: ""As Kosher as They Wanna Be""",HTCT 3328,,MC Moisha ; Easy Irving,Kosher Records,Cassette tape
"2 Live Jews: ""Fiddling With Tradition""",HTCT 3339,,MC Moisha ; Easy Irving,Kosher Records,Cassette tape
2 Song Cycles by Hugo Weisgal - The Golden Peacock - Translations,CRI SD 417,,Hugo Weisgal; Judith Raskin; Morey Ritt,"Composers Recordings, Inc.","33 1/3 RPM - 12"""
20 Famous Chassidic Melodies,GRC 134,,The Epstein Brothers Orchestra,Greater Recording Co.,"33 1/3 RPM - 12"""
20 Sing-A-Long,7474,,Chaim Chadad,Koliphone,8-track tape
20 Sing-A-Long,7474,,Chaim Chadad,Koliphone,"33 1/3 RPM - 12"""
20 Singing Years,12073,,Hadassah Sigalov,Makolit,"33 1/3 RPM - 12"""
20th Century Yiddish Humor as told by the centry's greatest comedians,BA-1004,,Various,Banner,"33 1/3 RPM - 12"""
20th Century Yiddish Humor as told by the centry's greatest comedians,BAS-1004,,Various,Banner,"33 1/3 RPM - 12"""
24 Favorite Yiddish Songs,CM506,,Sidor Belarsky,Artistic Enterprises,Cassette tape
24 Songs for Chidren,46349,,Noam Kaniel; Ophira Gloska; Motti Fleischer,Koliphone,"33 1/3 RPM - 12"""
25 Years of Israel in Songs,BAN 14312,1973,Shoshana Damari; Yaffa Yarkoni; Aric Einstein,Hed-Arzi,"33 1/3 RPM - 12"""
25 Years of Jewish Music,HL-803,,Sheya Mendlowitz,Holyland Music,CD
25 Years of Jewish Music Vol. 1,HL 803,,Neginah Orchestra and Yisroel Lamm,Holyland Records & Tapes,Cassette tape
25 Years of Song from Israel,P11704,,Nahalel Singers,CBS,"33 1/3 RPM - 12"""
25 Years of Song from Israel,67286,,The Parvarin; Yaffa Yarkoni; Yehoram Gaon,CBS,"33 1/3 RPM - 12"""
25th Anniversary Concert,,,Cantor Joseph Feuer,Mills Music,"33 1/3 RPM - 12"""
25th Anniversary of the Israeli Philharmonic Orchestra / Folk Music of Israel,VZL 119/120,,Israel Philharmonic Orchestra; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
29 Holiday Songs for Children,46350,,Dudu Dotan; Susy Miller; Varda shagay,Koliphone,"33 1/3 RPM - 12"""
30 Chanukah Songs for Children,53738,,Yemey Hachanukah Choir; Ruhama; Dudo Elharar,CBS,"33 1/3 RPM - 12"""
30 Golden Moments of Music,EB 103,,Epstein Brothers Orchestra,E.B. Recording Production,"33 1/3 RPM - 12"""
30 Greatest Jewish Songs,7000,,Benedict Silberman,Biram,CD
30 Holiday Songs for Tots,53825,,Chag Lataf,CBS,"33 1/3 RPM - 12"""
30 Years of Israël,AT/K 600,,unknown,Atoll Music,Cassette tape
30 Years of Israel in 30 Songs,XX 20031 /  XX 22031,,Various,Hataklit,"33 1/3 RPM - 12"""
30 Years of Melody,TC 31125,,,Isradisc Ltd.,Cassette tape
30 Years of Melody,SI 31125,,The Gevatron;Eli Gorenstein;Oshik Levy,Isradisc Ltd.,"33 1/3 RPM - 12"""
30 Years with Yaffa Yarkoni,DD 35184,,Yaffa Yarkoni,Hataklit,"33 1/3 RPM - 12"""
32 Golden Hits of the Nahal,22073,1980,Various,CBS,"33 1/3 RPM - 12"""
36 Jewish Children's Songs,BH-12,,Matthew Levitan,Suki & Ding Productions,Cassette tape
40 Favorite Jewish Melodies,SRLP 10055,,Musical League of Tel Aviv,Request Records,"33 1/3 RPM - 12"""
40 Favorite Jewish Melodies,847-10055,,John Peters,Request Records,8-track tape
40 Favorite Jewish Melodies,RLP 10055,,John Peters,Request Records,"33 1/3 RPM - 12"""
40 Favorite Jewish Melodies,C10055,,John Peters,Request Records,Cassette tape
40 Minutes in Israel,MW 1001,,Mosad Aliyah Children's Village Orchestra and Choir,Mizrachi Women's Organization of Americaq,"33 1/3 RPM - 12"""
40 Years of Hazzanut in Montreal,SGHM-01/2,,various,Private label,Cassette tape
40 Years of Hazzanut in Motreal (1957-1997),ALS-401,,Nathan Mendelson; JoshuaDlin; Moshe Erlich,The Council of Hazzanim,Cassette tape
44 Hours in Jerusalem - The Visit of President Anwar Sadat - November 1977,53810,,Various,CBS,"33 1/3 RPM - 12"""
50 Childrens Songs,T-143,,M. Harnick and M. Benai - Children Choir of the Jerusalem Conservatory,Tikva - Eurotone,"33 1/3 RPM - 12"""
50 Songs You'll Always Love,SMIC-6A,,Irving Fields,"Suffolk Marketing, Inc.",Cassette tape
"50 Years of Kibbutz Ein-Charod, 5731",403545,,various,Ein-Charod,"33 1/3 RPM - 12"""
50 [Childrens Songs],11,,M. Harnick and M. Benai - Children Choir of the Jerusalem Conservatory],Studio Recordings,"33 1/3 RPM - 12"""
51 Children Songs,MM 30570,,Esther Sophir,Hataklit,"33 1/3 RPM - 12"""
51 Holiday Songs for Eyal,SA 32029,,Various,Isradisc Ltd.,"33 1/3 RPM - 12"""
51 Holiday Songs for Eyal,SA 32027,,Various,Isradisc Ltd.,"33 1/3 RPM - 12"""
51 Songs for Limor,SA 32039,,Uri Berger; David Zakai; Dorit Reuveni; Revital Amit,Triton Studios,"33 1/3 RPM - 12"""
51 Songs for Limor,SA 32038,,Tzipi Shavit; Dorit Reuveni,Isradisc Ltd.,"33 1/3 RPM - 12"""
543 Shirim L'chagim,AN 15017,,Israel Gurion; Yona Elian; etc.,Hed-Arzi,"33 1/3 RPM - 12"""
543 V'chaizi,BAN 14836,,Israel Gurion; Yona Elian; etc,Hed-Arzi,"33 1/3 RPM - 12"""
6 Days of Laughter,BAN 14020,,Chaim Polani,Hed-Arzi,"33 1/3 RPM - 12"""
6 Million Accuse,UAL -9003,,Produced; Edited and Narrated by: Yehuda Lev,United Artists Records,"33 1/3 RPM - 12"""
6 Million in Heaven - 3 Million in Hell,61772,,Shlomo Carlebach,Menorah,"33 1/3 RPM - 12"""
6 Sipurei Yiladim,None,,Esther Sofer,Amit Records,"33 1/3 RPM - 12"""
613 Torah Avenue - Songs for Chumash B'reishis,CR001,1977,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
613 Torah Avenue - Vol. II - Songs for Chumash Shemos,CR002,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
613 Torah Avenue - Vol. III - Songs for Chumash Vayrikrah,CR003,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
613 Torah Avenue - Vol. IV - Songs for Chumash Bamidbar,CR004,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
613 Torah Avenue - Vol. VII - Songs for Tefilah,CR007,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,Cassette tape
613 Torah Avenue - Vol.VI - Songs for Pirkei Avos,CR006,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
7 Beloved children's stories,# 9,,Esther Sofer,Studio Recordings,"33 1/3 RPM - 12"""
7 Friday Night Prayers in a Conservative Synagogue,JSA 1018,,Cantor Moishe Schwimmer,JSA,CD
75 Minutes with Joseph Shlisky & Gerson Sirota,B-101,,Joseph Shlisky ; Gerson Sirota,Shirim,"33 1/3 RPM - 12"""
75th Anniversary of the Rabbinical Assembly,,,Aviva,Aviva Records,Cassette tape
8 Famous Stories,LP12061,,Esther Sofer,Makolit,"33 1/3 RPM - 12"""
87 Israeli Chassidic Festival,GR 1987,,various artists,Isra-Art Records,Cassette tape
9 Cantorial Selections,102331,2013,,Judaica,CD
90 Minutes of the Finest Jewish Entertainment,GRC 408,,Various,Greater Recording Co.,Cassette tape
96 Voices in Harmony,AP 215,,Zadikov Children Choir,Israphon,"33 1/3 RPM - 10"""
A Ball In Himmel,E1737,1914-02-11,M. Gutmann,Columbia,"78 RPM - 10"""
A Ballad for a Kibutznik,BAN 14180,,Nichochey Chatzir,Hed-Arzi,"33 1/3 RPM - 12"""
A Bauer in Feld - Roumanische Lied [A poyer in feld],72923-B / 72923-A,1918-06-14,William Schwartz; Rose Greenfield,Victor - His Master's Voice,"78 RPM - 10"""
A Birthday Party,AN 17-54,,Miriam Propes,Hed-Arzi,"33 1/3 RPM - 10"""
A Bisel Liebe,8030-F,1924-05,Molly Picon,Columbia,"78 RPM - 10"""
"A Bisele Liebe, A Bisele Glick",13255,1924-04,Bessie Weisman,Emerson,"78 RPM - 10"""
A Bisele Yoisher,9448-A / 9448-B,1923-01,Fanny Schreiber,Reena,"78 RPM - 10"""
A Bouquet of Stars,SM63305,,various,CBS Special,"33 1/3 RPM - 12"""
A Bridge of Prayers,MS 104,,Cantor Norman Atkins,Metropolitan Synagogue Records,"33 1/3 RPM - 12"""
A Brief fin 1916,E5145,1916,Jacob Silbert,Columbia,"78 RPM - 12"""
A Brief Fun 1920,13125,1920-11,Joseph Feldman,Emerson,"78 RPM - 10"""
A Brief zu die Lendlors,14046-B / 14046-A,1922-03,Boris Rosenthal; Louis Gilrod; Gus Goldstein,Okeh,"78 RPM - 10"""
A Briew Fun A Dienst,6069-A / 6069-B,,Henri Gerro,Stinson,"78 RPM - 10"""
A Brighter Day,M 1219624,,Safam,Safam,Cassette tape
A Brighter Day,45649,,Safam,Safam,"33 1/3 RPM - 12"""
A Brighter Day,CD1219624,,Safam,Safam,CD
A Briss Mihle,A 13056 / B 13056,1927-06-30,Max Willner,Vocalion,"78 RPM - 10"""
A brivel tsu mayn man,03674 / 03674 B,1924-03,Nellie Casman,Pathe,"78 RPM - 10"""
A Brivel Tzu Mein Mann,77932-A / 77932-B,1925-02-02,Nellie Casman,Victor - His Master's Voice,"78 RPM - 10"""
A Brivele der Mame,16773-A / 16773-B,1908-11-30,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 10"""
A Brivele Der Mame,3034,1908-10,Simon Paskal,Zon-O-Phone,"78 RPM - 10"" single-sided"
A Brivele Die Mammen,1046 A / 1046,,Sara Gingold,Sun,"78 RPM - 10"""
A Brivele Von Der Mame,5644,1908-11-30,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
A Brivele von Russland,E1050,1912-08-30,Solomon Smuelwitz; Solomon Small,Columbia,"78 RPM - 10"""
A Brivelle Zu Gott,E1049,1912-08-30,Solomon Smuelwitz; Solomon Small,Columbia,"78 RPM - 10"""
A Brocheh Tzum Nayem Yohr,E9060,1923-06,Simon Paskal,Columbia,"78 RPM - 10"""
A Broken Doll,A2154,1916-11-26,Al Jolson,Columbia,"78 RPM - 10"""
A Cale Bazetzen,1112,1921-08,Gus Goldstein; Clara Gold,Cardinal,"78 RPM - 10"""
A Call To Remember - Sacred Songs of the High Holy Days,EMB 1500,,Hebrew Arts Chamber Singers,Media Judaica,"33 1/3 RPM - 12"""
A Cantor's Audition,B-2088 A / B-2088 B,,Jan Bart,Banner,"78 RPM - 10"""
A Capella Treasury - Shabbos,SMP175,,Various,Sameach Music,CD
A Cavalcade of Musical Comedy,LM 102,,Rise Stevens and Robert Merrill,RCA Victor,"33 1/3 RPM - 10"""
"A Celebration in ""Bnoeiva""",82364,,Various,CBS,"33 1/3 RPM - 12"""
A Celebration of Hanukkah,BAP 088,,Hal Linden,Bantam Audio Publishing,Cassette tape
A Centennial of Jewish Music,TR 593,,Cantors: Harry Altman;Erno Grosz;Neil Giniger,Tambur Records,"33 1/3 RPM - 12"""
A Chanukah Adventure,M-102-A / M-102-B,1953,Pearl Goldin; Marion Castle,Ram-Bam,"78 RPM - 8"""
A Chanukah Cantata,00-1.1,,North Shore Temple Emanuel Choir,Maju Music,CD
A Chasen'dl Oif Shabos,H6031,,,Asch Recordings,"78 RPM - 10"""
