R132,A Ballad for a Kibutznik,BAN 14180,,Nichochey Chatzir,Hed-Arzi,"33 1/3 RPM - 12"""
R133,A Bauer in Feld - Roumanische Lied [A poyer in feld],72923-B / 72923-A,1918-06-14,William Schwartz; Rose Greenfield,Victor - His Master's Voice,"78 RPM - 10"""
R134,A Birthday Party,AN 17-54,,Miriam Propes,Hed-Arzi,"33 1/3 RPM - 10"""
R135,A Bisel Liebe,8030-F,1924-05,Molly Picon,Columbia,"78 RPM - 10"""
R136,"A Bisele Liebe, A Bisele Glick",13255,1924-04,Bessie Weisman,Emerson,"78 RPM - 10"""
R137,A Bisele Yoisher,9448-A / 9448-B,1923-01,Fanny Schreiber,Reena,"78 RPM - 10"""
R138,A Bouquet of Stars,SM63305,,various,CBS Special,"33 1/3 RPM - 12"""
R139,A Bridge of Prayers,MS 104,,Cantor Norman Atkins,Metropolitan Synagogue Records,"33 1/3 RPM - 12"""
R140,A Brief fin 1916,E5145,1916,Jacob Silbert,Columbia,"78 RPM - 12"""
R141,A Brief Fun 1920,13125,1920-11,Joseph Feldman,Emerson,"78 RPM - 10"""
R142,A Brief zu die Lendlors,14046-B / 14046-A,1922-03,Boris Rosenthal; Louis Gilrod; Gus Goldstein,Okeh,"78 RPM - 10"""
R143,A Briew Fun A Dienst,6069-A / 6069-B,,Henri Gerro,Stinson,"78 RPM - 10"""
R144,A Brighter Day,M 1219624,,Safam,Safam,Cassette tape
R145,A Brighter Day,45649,,Safam,Safam,"33 1/3 RPM - 12"""
R146,A Brighter Day,CD1219624,,Safam,Safam,CD
R147,A Briss Mihle,A 13056 / B 13056,1927-06-30,Max Willner,Vocalion,"78 RPM - 10"""
R148,A brivel tsu mayn man,03674 / 03674 B,1924-03,Nellie Casman,Pathe,"78 RPM - 10"""
R149,A Brivel Tzu Mein Mann,77932-A / 77932-B,1925-02-02,Nellie Casman,Victor - His Master's Voice,"78 RPM - 10"""
R150,A Brivele der Mame,16773-A / 16773-B,1908-11-30,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 10"""
R151,A Brivele Der Mame,3034,1908-10,Simon Paskal,Zon-O-Phone,"78 RPM - 10"" single-sided"
R152,A Brivele Die Mammen,1046 A / 1046,,Sara Gingold,Sun,"78 RPM - 10"""
R153,A Brivele Von Der Mame,5644,1908-11-30,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
R154,A Brivele von Russland,E1050,1912-08-30,Solomon Smuelwitz; Solomon Small,Columbia,"78 RPM - 10"""
R155,A Brivelle Zu Gott,E1049,1912-08-30,Solomon Smuelwitz; Solomon Small,Columbia,"78 RPM - 10"""
R156,A Brocheh Tzum Nayem Yohr,E9060,1923-06,Simon Paskal,Columbia,"78 RPM - 10"""
R157,A Broken Doll,A2154,1916-11-26,Al Jolson,Columbia,"78 RPM - 10"""
R158,A Cale Bazetzen,1112,1921-08,Gus Goldstein; Clara Gold,Cardinal,"78 RPM - 10"""
R159,A Call To Remember - Sacred Songs of the High Holy Days,EMB 1500,,Hebrew Arts Chamber Singers,Media Judaica,"33 1/3 RPM - 12"""
R160,A Cantor's Audition,B-2088 A / B-2088 B,,Jan Bart,Banner,"78 RPM - 10"""
R161,A Capella Treasury - Shabbos,SMP175,,Various,Sameach Music,CD
R162,A Cavalcade of Musical Comedy,LM 102,,Rise Stevens and Robert Merrill,RCA Victor,"33 1/3 RPM - 10"""
R163,"A Celebration in ""Bnoeiva""",82364,,Various,CBS,"33 1/3 RPM - 12"""
R164,A Celebration of Hanukkah,BAP 088,,Hal Linden,Bantam Audio Publishing,Cassette tape
R165,A Centennial of Jewish Music,TR 593,,Cantors: Harry Altman;Erno Grosz;Neil Giniger,Tambur Records,"33 1/3 RPM - 12"""
R166,A Chanukah Adventure,M-102-A / M-102-B,1953,Pearl Goldin; Marion Castle,Ram-Bam,"78 RPM - 8"""
R167,A Chanukah Cantata,00-1.1,,North Shore Temple Emanuel Choir,Maju Music,CD
R168,A Chasen'dl Oif Shabos,H6031,,,Asch Recordings,"78 RPM - 10"""
R169,A Chasendl Oif Shabos,H 6031-A / H 6031-B,1941,Cantor Maurice Ganchoff,Asch Recording Studio,"78 RPM - 12"""
R170,A Chasene In Shtetl,8238-F,,Seymour Rechtzeit,Columbia,"78 RPM - 10"""
R171,A Chasene In Shtetl,40113,,Paul Burstein; Lillian Lux; Michael Burstein; Susan Burstein,Hataklit,Cassette tape
R172,A Chasene In Shtetl - Oysgefirt Durkh Di 4 Burshteyns,12015,,Paul Burstein; Lillian Lux; Michael Burstein; Susan Burstein,Makolit,"33 1/3 RPM - 12"""
R173,A Chasin Of Shabbis [The Cantor],901 [3] / 902 [3],,Al Jolson,Unknown,"78 RPM - 10"""
R174,A Chasina of Probe,V-9021-A / V-9021-B,1929-10-29,Saltz Folks' Theatre Orchestra,Victor - His Master's Voice,"78 RPM - 10"""
R175,A Chasine In Shtetl,V-59027-A / V-59027-B,,Lea Degarith,Victor - His Master's Voice,"78 RPM - 12"""
R176,A Chassidic Celebration,DP829,,Yoel Sharabi,Ahava Productions,"33 1/3 RPM - 12"""
R177,A Chasuno (Chupo),35154-B / 35154-A,1907-06-27,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 12"""
R178,A Chaver in Leben,72291-B / 72291-A,1918-05-16,Simon Paskal,Victor - His Master's Voice,"78 RPM - 10"""
R179,A Chazen A Shiker,B-2042-A / B-2042-B,,Maurice Schwartz,Banner,"78 RPM - 10"""
R180,A Chazen A Shiker,85000 A / 85000 B,1928-04-25,Maurice Schwartz,Brunswick,"78 RPM - 12"""
R181,A Chazen a Shiker,75004-B / 75004-A,1928-04-25,Maurice Schwartz,Brunswick,"78 RPM - 12"""
R182,A Chazen del auf Shabes,E5217,1920,Cantor Shloimele Rothstein,Columbia,"78 RPM - 12"""
R183,A Chazen'dl In America,67106 B / 67106 A,1928-05-09,Aaron Lebedeff,Brunswick,"78 RPM - 10"""
R184,A Chazn's Debut in a Klein Shtedtele,68570-A / 68570-B,1921-04-18,Joseph Winogradoff,Victor - His Master's Voice,"78 RPM - 12"""
R185,A Child is Born - Episode 1,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R186,"A Child is Born - Episode 10, Part 1",,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R187,"A Child is Born - Episode 10, Part 2",,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R188,A Child is Born - Episode 11,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R189,A Child is Born - Episode 12,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R190,A Child is Born - Episode 15,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R191,A Child is Born - Episode 16,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R192,A Child is Born - Episode 23,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R193,A Child is Born - Episode 4,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R194,A Child is Born - Episode 7,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R195,A Child is Born - Episode 8,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R196,A Child is Born - Episode 9,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R197,A Child is Born - Episodes 17-18,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R198,A Child is Born - Episodes 21-22,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R199,A Child is Born - Episodes 25-26,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R200,A Child is Born - Episodes 5 & 6,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
R201,A Child To Me Is Born,8274-F,,Nuchem Nardie,Columbia,"78 RPM - 10"""
R202,A Child's Day,TDP-2007,,Chedva Amrani,Eastronics Ltd.,"33 1/3 RPM - 12"""
R203,A Child's Prayer,87094,1911-12-08,Ernestine Schumann-Heink,Victor Record,"78 RPM - 10"" single-sided"
R204,A Chosen Auszuklauben,8018-F,1923,Jacob Sanger; Sinin; Miss Glicksman,Columbia,"78 RPM - 10"""
R205,A Chosid Beim Rebin,3702 / 3702 B,1925-04,Annie Lubin,Pathe,"78 RPM - 10"""
R206,A Chosid Beim Rebin,03702 B / 03702,1925-04,Annie Lubin,Pathe,"78 RPM - 10"""
R207,A Chulem,1333-X,1919-06,Abraham Rosenstein,Emerson,"78 RPM - 10"""
R208,A Chulem,E3329,1917,Jack Kimelman,Columbia,"78 RPM - 10"""
R209,A Chulim,67748-A / 67748-B,1916-02-11,Jacob Jimmalmon,Victor - His Master's Voice,"78 RPM - 10"""
R210,A Chusidel,B-2020B / B-2020A,,Menasha Oppenheim,Banner,"78 RPM - 10"""
R211,A City of People,LLP-2007,,The Citizens,Laurie,"33 1/3 RPM - 12"""
R212,A Collection,13149,,Arik Einstein,Phonodor,"33 1/3 RPM - 12"""
R213,A Collection of Jewish Folk-Songs,GVR 28,1965,Various,Golden Voice Recordings,"33 1/3 RPM - 12"""
R214,A Concert in Israel,AN 30-65,,Leon Fuld,Hed-Arzi,"33 1/3 RPM - 10"""
R215,A CONCERT OF CANTORS,HRL 1724 A/B,,,Helffrich Recording labs,"33 1/3 RPM - 12"""
R216,A Concert of Jewish Music,GB-OP-7546/7,,Sidor Belarsky,Artistic Enterprises,"33 1/3 RPM - 12"""
R217,A Concert of Jewish Music,CM 530,,Jacob Barkin,Musique Internationale,Cassette tape
R218,A Concert of Jewish Music,B 101,,Sidor Belarsky,Artistic Enterprises,"33 1/3 RPM - 12"""
R219,"A Concert with 'Yossele' Rosenblatt, Volume 11",GRC 192,,Cantor Josef Rosenblatt,Greater Recording Co.,"33 1/3 RPM - 12"""
R220,A Concert with Cantor Erblich,GRC 294,,Cantor Reb Moshe Leib Erblich,Greater Recording Co.,"33 1/3 RPM - 12"""
R221,A Concert with Lillian Lux,LL 400,,Lillian Lux,Privately Issued,Cassette tape
R222,A Cracker Against a Cracker,BAN 14870,,Hagashash of Israel,Hed-Arzi,"33 1/3 RPM - 12"""
R223,A Date,R.V.R. 312,,Margalit Tsanany,Reuveni Bros.,Cassette tape
R224,A Day in the Life …,,,Sam Glaser,Glaser Musicworks,Cassette tape
R225,A Decade of Jewish Choir Masterpieces,D-107,,Samuel Sterner,Shirim,"33 1/3 RPM - 12"""
R226,A Desert Taleq,AN 13-13,,David Eshet,Hed-Arzi,"33 1/3 RPM - 10"""
R227,A Din Toire Mit Got,A 13002 / B 13002,1923-11,Abraham Hyman,Vocalion,"78 RPM - 10"""
R228,A Din-Toire Mit Got ; Frumeleh,274-B / 274-A,,Sidor Belarsky,Musicraft,"78 RPM - 10"""
R229,A Din-Torah Mit Gott,B-2040 A / B-2040 B,,Moyshe Oysher,Banner,"78 RPM - 10"""
R230,A Din-Torah Mit Gott,B-2040 A / B-2040 B,,Moyshe Oysher,Banner,"78 RPM - 12"""
R231,A Disgusted Millionaire,332-A / 332-B,,Benny Bell,Bell Records,"78 RPM - 10"""
R232,A Doina & Skotchna,1135-A / 1135-B,,Hymie Jacobson,DeLuxe,"78 RPM - 10"""
R233,A Doktor Nebbech,CS 5,,Szumacher,OSI Disques,45 RPM
R234,A Dream Comes True,Program #7,,unknown,The Drama of Palestine,"33 1/3 RPM - 16"""
